"Evaluate/step_episode","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step__MIN","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step__MAX","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterFatigueCoeAccu","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterFatigueCoeAccu__MIN","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterFatigueCoeAccu__MAX","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step__MIN","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step__MAX","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterFatigueCoeAccu","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterFatigueCoeAccu__MIN","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterFatigueCoeAccu__MAX","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step__MIN","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step__MAX","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterFatigueCoeAccu","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterFatigueCoeAccu__MIN","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterFatigueCoeAccu__MAX","5_test_dqn_49600_2025-07-27_11-39-32 - _step","5_test_dqn_49600_2025-07-27_11-39-32 - _step__MIN","5_test_dqn_49600_2025-07-27_11-39-32 - _step__MAX","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterFatigueCoeAccu","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterFatigueCoeAccu__MIN","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterFatigueCoeAccu__MAX","6_test_dqn_49600_2025-07-29_13-21-06 - _step","6_test_dqn_49600_2025-07-29_13-21-06 - _step__MIN","6_test_dqn_49600_2025-07-29_13-21-06 - _step__MAX","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterFatigueCoeAccu","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterFatigueCoeAccu__MIN","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterFatigueCoeAccu__MAX","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step__MIN","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step__MAX","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterFatigueCoeAccu","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterFatigueCoeAccu__MIN","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterFatigueCoeAccu__MAX","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step__MIN","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step__MAX","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterFatigueCoeAccu","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterFatigueCoeAccu__MIN","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterFatigueCoeAccu__MAX","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step__MIN","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step__MAX","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterFatigueCoeAccu","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterFatigueCoeAccu__MIN","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterFatigueCoeAccu__MAX"
"0","6","6","6","0.028865141794085503","0.028865141794085503","0.028865141794085503","7","7","7","0.04948221519589424","0.04948221519589424","0.04948221519589424","7","7","7","0.01850728504359722","0.01850728504359722","0.01850728504359722","7","7","7","0.028983477503061295","0.028983477503061295","0.028983477503061295","7","7","7","0.03608303144574165","0.03608303144574165","0.03608303144574165","6","6","6","0.03531068563461304","0.03531068563461304","0.03531068563461304","7","7","7","0.0366130955517292","0.0366130955517292","0.0366130955517292","7","7","7","0.03988293930888176","0.03988293930888176","0.03988293930888176"
"1","11","11","11","0.0353718139231205","0.0353718139231205","0.0353718139231205","13","13","13","0.0415603443980217","0.0415603443980217","0.0415603443980217","13","13","13","0.05897501856088638","0.05897501856088638","0.05897501856088638","13","13","13","0.035739243030548096","0.035739243030548096","0.035739243030548096","13","13","13","0.03741781786084175","0.03741781786084175","0.03741781786084175","11","11","11","0.02087530307471752","0.02087530307471752","0.02087530307471752","13","13","13","0.026729676872491837","0.026729676872491837","0.026729676872491837","13","13","13","0.039790697395801544","0.039790697395801544","0.039790697395801544"
"2","16","16","16","0.033498626202344894","0.033498626202344894","0.033498626202344894","19","19","19","0.05188911408185959","0.05188911408185959","0.05188911408185959","19","19","19","0.034885939210653305","0.034885939210653305","0.034885939210653305","19","19","19","0.03201550990343094","0.03201550990343094","0.03201550990343094","19","19","19","0.03625243902206421","0.03625243902206421","0.03625243902206421","16","16","16","0.034760504961013794","0.034760504961013794","0.034760504961013794","19","19","19","0.052927713841199875","0.052927713841199875","0.052927713841199875","19","19","19","0.046450793743133545","0.046450793743133545","0.046450793743133545"
"3","21","21","21","0.020731555297970772","0.020731555297970772","0.020731555297970772","25","25","25","0.0552360825240612","0.0552360825240612","0.0552360825240612","25","25","25","0.06429833173751831","0.06429833173751831","0.06429833173751831","25","25","25","0.03328487277030945","0.03328487277030945","0.03328487277030945","25","25","25","0.02560506947338581","0.02560506947338581","0.02560506947338581","21","21","21","0.03721064701676369","0.03721064701676369","0.03721064701676369","25","25","25","0.021002378314733505","0.021002378314733505","0.021002378314733505","25","25","25","0.03681398183107376","0.03681398183107376","0.03681398183107376"
"4","26","26","26","0.03714195638895035","0.03714195638895035","0.03714195638895035","31","31","31","0.03492581471800804","0.03492581471800804","0.03492581471800804","31","31","31","0.032059457153081894","0.032059457153081894","0.032059457153081894","31","31","31","0.037363212555646896","0.037363212555646896","0.037363212555646896","31","31","31","0.03874160349369049","0.03874160349369049","0.03874160349369049","26","26","26","0.03313513100147247","0.03313513100147247","0.03313513100147247","31","31","31","0.03049536608159542","0.03049536608159542","0.03049536608159542","31","31","31","0.04227711260318756","0.04227711260318756","0.04227711260318756"
"5","31","31","31","0.031127113848924637","0.031127113848924637","0.031127113848924637","37","37","37","0.04805324971675873","0.04805324971675873","0.04805324971675873","37","37","37","0.02798427827656269","0.02798427827656269","0.02798427827656269","37","37","37","0.0364990308880806","0.0364990308880806","0.0364990308880806","37","37","37","0.03179875388741493","0.03179875388741493","0.03179875388741493","31","31","31","0.03271027281880379","0.03271027281880379","0.03271027281880379","37","37","37","0.031161580234766006","0.031161580234766006","0.031161580234766006","37","37","37","0.027404651045799255","0.027404651045799255","0.027404651045799255"
"6","36","36","36","0.03528245538473129","0.03528245538473129","0.03528245538473129","43","43","43","0.04500158503651619","0.04500158503651619","0.04500158503651619","43","43","43","0.04529936984181404","0.04529936984181404","0.04529936984181404","43","43","43","0.03327673673629761","0.03327673673629761","0.03327673673629761","43","43","43","0.02441718801856041","0.02441718801856041","0.02441718801856041","36","36","36","0.0352364182472229","0.0352364182472229","0.0352364182472229","43","43","43","0.033509768545627594","0.033509768545627594","0.033509768545627594","43","43","43","0.053923651576042175","0.053923651576042175","0.053923651576042175"
"7","41","41","41","0.03843219578266144","0.03843219578266144","0.03843219578266144","49","49","49","0.03722137212753296","0.03722137212753296","0.03722137212753296","49","49","49","0.03065318427979946","0.03065318427979946","0.03065318427979946","49","49","49","0.023998014628887177","0.023998014628887177","0.023998014628887177","49","49","49","0.02466730959713459","0.02466730959713459","0.02466730959713459","41","41","41","0.03132292628288269","0.03132292628288269","0.03132292628288269","49","49","49","0.04641994461417198","0.04641994461417198","0.04641994461417198","49","49","49","0.04327956959605217","0.04327956959605217","0.04327956959605217"
"8","46","46","46","0.04090693220496178","0.04090693220496178","0.04090693220496178","55","55","55","0.030680803582072258","0.030680803582072258","0.030680803582072258","55","55","55","0.03804028034210205","0.03804028034210205","0.03804028034210205","55","55","55","0.031248489394783974","0.031248489394783974","0.031248489394783974","55","55","55","0.038921233266592026","0.038921233266592026","0.038921233266592026","46","46","46","0.046457137912511826","0.046457137912511826","0.046457137912511826","55","55","55","0.04767623916268349","0.04767623916268349","0.04767623916268349","55","55","55","0.04389289766550064","0.04389289766550064","0.04389289766550064"
"9","51","51","51","0.03583346679806709","0.03583346679806709","0.03583346679806709","61","61","61","0.049700651317834854","0.049700651317834854","0.049700651317834854","61","61","61","0.03655685484409332","0.03655685484409332","0.03655685484409332","61","61","61","0.03278527781367302","0.03278527781367302","0.03278527781367302","61","61","61","0.023416101932525635","0.023416101932525635","0.023416101932525635","51","51","51","0.03958461806178093","0.03958461806178093","0.03958461806178093","61","61","61","0.027004363015294075","0.027004363015294075","0.027004363015294075","61","61","61","0.05048978701233864","0.05048978701233864","0.05048978701233864"
"10","56","56","56","0.0630887970328331","0.0630887970328331","0.0630887970328331","67","67","67","0.043820176273584366","0.043820176273584366","0.043820176273584366","67","67","67","0.036466702818870544","0.036466702818870544","0.036466702818870544","67","67","67","0.0427279993891716","0.0427279993891716","0.0427279993891716","67","67","67","0.03584310784935951","0.03584310784935951","0.03584310784935951","56","56","56","0.037211451679468155","0.037211451679468155","0.037211451679468155","67","67","67","0.031079992651939392","0.031079992651939392","0.031079992651939392","67","67","67","0.04051733762025833","0.04051733762025833","0.04051733762025833"
"11","61","61","61","0.0607660748064518","0.0607660748064518","0.0607660748064518","73","73","73","0.02314748242497444","0.02314748242497444","0.02314748242497444","73","73","73","0.05007772147655487","0.05007772147655487","0.05007772147655487","73","73","73","0.03653280436992645","0.03653280436992645","0.03653280436992645","73","73","73","0.029150448739528656","0.029150448739528656","0.029150448739528656","61","61","61","0.03745251148939133","0.03745251148939133","0.03745251148939133","73","73","73","0.03462420031428337","0.03462420031428337","0.03462420031428337","73","73","73","0.03331036865711212","0.03331036865711212","0.03331036865711212"
"12","66","66","66","0.031736306846141815","0.031736306846141815","0.031736306846141815","79","79","79","0.03776586055755615","0.03776586055755615","0.03776586055755615","79","79","79","0.025371307507157326","0.025371307507157326","0.025371307507157326","79","79","79","0.04648960009217262","0.04648960009217262","0.04648960009217262","79","79","79","0.022835010662674904","0.022835010662674904","0.022835010662674904","66","66","66","0.038078222423791885","0.038078222423791885","0.038078222423791885","79","79","79","0.033868856728076935","0.033868856728076935","0.033868856728076935","79","79","79","0.03476578742265701","0.03476578742265701","0.03476578742265701"
"13","71","71","71","0.03407496213912964","0.03407496213912964","0.03407496213912964","85","85","85","0.043292559683322906","0.043292559683322906","0.043292559683322906","85","85","85","0.0470551960170269","0.0470551960170269","0.0470551960170269","85","85","85","0.0440145768225193","0.0440145768225193","0.0440145768225193","85","85","85","0.025860212743282318","0.025860212743282318","0.025860212743282318","71","71","71","0.029785817489027977","0.029785817489027977","0.029785817489027977","85","85","85","0.036526456475257874","0.036526456475257874","0.036526456475257874","85","85","85","0.029008297249674797","0.029008297249674797","0.029008297249674797"
