"Evaluate/step_episode","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step__MIN","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step__MAX","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterFatigueCoeAccu_ekf","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterFatigueCoeAccu_ekf__MIN","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterFatigueCoeAccu_ekf__MAX","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step__MIN","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step__MAX","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterFatigueCoeAccu_ekf","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterFatigueCoeAccu_ekf__MIN","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterFatigueCoeAccu_ekf__MAX","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step__MIN","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step__MAX","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterFatigueCoeAccu_ekf","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterFatigueCoeAccu_ekf__MIN","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterFatigueCoeAccu_ekf__MAX","5_test_dqn_49600_2025-07-27_11-39-32 - _step","5_test_dqn_49600_2025-07-27_11-39-32 - _step__MIN","5_test_dqn_49600_2025-07-27_11-39-32 - _step__MAX","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterFatigueCoeAccu_ekf","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterFatigueCoeAccu_ekf__MIN","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterFatigueCoeAccu_ekf__MAX","6_test_dqn_49600_2025-07-29_13-21-06 - _step","6_test_dqn_49600_2025-07-29_13-21-06 - _step__MIN","6_test_dqn_49600_2025-07-29_13-21-06 - _step__MAX","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterFatigueCoeAccu_ekf","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterFatigueCoeAccu_ekf__MIN","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterFatigueCoeAccu_ekf__MAX","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step__MIN","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step__MAX","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterFatigueCoeAccu_ekf","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterFatigueCoeAccu_ekf__MIN","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterFatigueCoeAccu_ekf__MAX","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step__MIN","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step__MAX","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterFatigueCoeAccu_ekf","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterFatigueCoeAccu_ekf__MIN","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterFatigueCoeAccu_ekf__MAX","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step__MIN","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step__MAX","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterFatigueCoeAccu_ekf","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterFatigueCoeAccu_ekf__MIN","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterFatigueCoeAccu_ekf__MAX"
"0","7","7","7","0.029243992641568184","0.029243992641568184","0.029243992641568184","9","9","9","0.05577905476093292","0.05577905476093292","0.05577905476093292","9","9","9","0.02208992838859558","0.02208992838859558","0.02208992838859558","9","9","9","0.03297564014792442","0.03297564014792442","0.03297564014792442","9","9","9","0.04543345794081688","0.04543345794081688","0.04543345794081688","7","7","7","0.042663782835006714","0.042663782835006714","0.042663782835006714","9","9","9","0.044915635138750076","0.044915635138750076","0.044915635138750076","9","9","9","0.03242434561252594","0.03242434561252594","0.03242434561252594"
"1","12","12","12","0.03799435868859291","0.03799435868859291","0.03799435868859291","15","15","15","0.040697235614061356","0.040697235614061356","0.040697235614061356","15","15","15","0.06251168251037598","0.06251168251037598","0.06251168251037598","15","15","15","0.04031074047088623","0.04031074047088623","0.04031074047088623","15","15","15","0.03307507559657097","0.03307507559657097","0.03307507559657097","12","12","12","0.024340076372027397","0.024340076372027397","0.024340076372027397","15","15","15","0.033919140696525574","0.033919140696525574","0.033919140696525574","15","15","15","0.04521550238132477","0.04521550238132477","0.04521550238132477"
"2","17","17","17","0.04579011723399162","0.04579011723399162","0.04579011723399162","21","21","21","0.0765879675745964","0.0765879675745964","0.0765879675745964","21","21","21","0.06323181837797165","0.06323181837797165","0.06323181837797165","21","21","21","0.050401587039232254","0.050401587039232254","0.050401587039232254","21","21","21","0.045244116336107254","0.045244116336107254","0.045244116336107254","17","17","17","0.055438268929719925","0.055438268929719925","0.055438268929719925","21","21","21","0.06919307261705399","0.06919307261705399","0.06919307261705399","21","21","21","0.06677389144897461","0.06677389144897461","0.06677389144897461"
"3","22","22","22","0.036158278584480286","0.036158278584480286","0.036158278584480286","27","27","27","0.07182203978300095","0.07182203978300095","0.07182203978300095","27","27","27","0.07713046669960022","0.07713046669960022","0.07713046669960022","27","27","27","0.03914802521467209","0.03914802521467209","0.03914802521467209","27","27","27","0.0435209684073925","0.0435209684073925","0.0435209684073925","22","22","22","0.050134286284446716","0.050134286284446716","0.050134286284446716","27","27","27","0.02473323792219162","0.02473323792219162","0.02473323792219162","27","27","27","0.047443799674510956","0.047443799674510956","0.047443799674510956"
"4","27","27","27","0.03720932453870773","0.03720932453870773","0.03720932453870773","33","33","33","0.04109426960349083","0.04109426960349083","0.04109426960349083","33","33","33","0.037792548537254333","0.037792548537254333","0.037792548537254333","33","33","33","0.032736361026763916","0.032736361026763916","0.032736361026763916","33","33","33","0.04037366807460785","0.04037366807460785","0.04037366807460785","27","27","27","0.03128684312105179","0.03128684312105179","0.03128684312105179","33","33","33","0.033743277192115784","0.033743277192115784","0.033743277192115784","33","33","33","0.049277156591415405","0.049277156591415405","0.049277156591415405"
"5","32","32","32","0.03938083350658417","0.03938083350658417","0.03938083350658417","39","39","39","0.05446113646030426","0.05446113646030426","0.05446113646030426","39","39","39","0.036282047629356384","0.036282047629356384","0.036282047629356384","39","39","39","0.027725649997591972","0.027725649997591972","0.027725649997591972","39","39","39","0.0355125330388546","0.0355125330388546","0.0355125330388546","32","32","32","0.03719039633870125","0.03719039633870125","0.03719039633870125","39","39","39","0.035903941839933395","0.035903941839933395","0.035903941839933395","39","39","39","0.03236943855881691","0.03236943855881691","0.03236943855881691"
"6","37","37","37","0.030050033703446388","0.030050033703446388","0.030050033703446388","45","45","45","0.048234209418296814","0.048234209418296814","0.048234209418296814","45","45","45","0.04979003220796585","0.04979003220796585","0.04979003220796585","45","45","45","0.04634975269436836","0.04634975269436836","0.04634975269436836","45","45","45","0.02705681510269642","0.02705681510269642","0.02705681510269642","37","37","37","0.032756224274635315","0.032756224274635315","0.032756224274635315","45","45","45","0.03468520566821098","0.03468520566821098","0.03468520566821098","45","45","45","0.06899334490299225","0.06899334490299225","0.06899334490299225"
"7","42","42","42","0.0466739796102047","0.0466739796102047","0.0466739796102047","51","51","51","0.049911484122276306","0.049911484122276306","0.049911484122276306","51","51","51","0.04040401428937912","0.04040401428937912","0.04040401428937912","51","51","51","0.04923002049326897","0.04923002049326897","0.04923002049326897","51","51","51","0.03559638559818268","0.03559638559818268","0.03559638559818268","42","42","42","0.04827024042606354","0.04827024042606354","0.04827024042606354","51","51","51","0.05993672087788582","0.05993672087788582","0.05993672087788582","51","51","51","0.05964650958776474","0.05964650958776474","0.05964650958776474"
"8","47","47","47","0.04566239193081856","0.04566239193081856","0.04566239193081856","57","57","57","0.03910209238529205","0.03910209238529205","0.03910209238529205","57","57","57","0.05007622763514519","0.05007622763514519","0.05007622763514519","57","57","57","0.04107096418738365","0.04107096418738365","0.04107096418738365","57","57","57","0.04381360858678818","0.04381360858678818","0.04381360858678818","47","47","47","0.041644565761089325","0.041644565761089325","0.041644565761089325","57","57","57","0.05417945235967636","0.05417945235967636","0.05417945235967636","57","57","57","0.04999566823244095","0.04999566823244095","0.04999566823244095"
"9","52","52","52","0.0484430305659771","0.0484430305659771","0.0484430305659771","63","63","63","0.05501825362443924","0.05501825362443924","0.05501825362443924","63","63","63","0.05646586790680885","0.05646586790680885","0.05646586790680885","63","63","63","0.030443595722317696","0.030443595722317696","0.030443595722317696","63","63","63","0.04569435864686966","0.04569435864686966","0.04569435864686966","52","52","52","0.05900273099541664","0.05900273099541664","0.05900273099541664","63","63","63","0.052215032279491425","0.052215032279491425","0.052215032279491425","63","63","63","0.07212357968091965","0.07212357968091965","0.07212357968091965"
