"Evaluate/step_episode","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step__MIN","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step__MAX","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterFatigueCoeAccu_kf","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterFatigueCoeAccu_kf__MIN","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterFatigueCoeAccu_kf__MAX","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step__MIN","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step__MAX","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterFatigueCoeAccu_kf","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterFatigueCoeAccu_kf__MIN","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterFatigueCoeAccu_kf__MAX","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step__MIN","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step__MAX","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterFatigueCoeAccu_kf","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterFatigueCoeAccu_kf__MIN","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterFatigueCoeAccu_kf__MAX","5_test_dqn_49600_2025-07-27_11-39-32 - _step","5_test_dqn_49600_2025-07-27_11-39-32 - _step__MIN","5_test_dqn_49600_2025-07-27_11-39-32 - _step__MAX","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterFatigueCoeAccu_kf","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterFatigueCoeAccu_kf__MIN","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterFatigueCoeAccu_kf__MAX","6_test_dqn_49600_2025-07-29_13-21-06 - _step","6_test_dqn_49600_2025-07-29_13-21-06 - _step__MIN","6_test_dqn_49600_2025-07-29_13-21-06 - _step__MAX","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterFatigueCoeAccu_kf","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterFatigueCoeAccu_kf__MIN","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterFatigueCoeAccu_kf__MAX","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step__MIN","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step__MAX","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterFatigueCoeAccu_kf","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterFatigueCoeAccu_kf__MIN","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterFatigueCoeAccu_kf__MAX","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step__MIN","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step__MAX","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterFatigueCoeAccu_kf","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterFatigueCoeAccu_kf__MIN","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterFatigueCoeAccu_kf__MAX","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step__MIN","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step__MAX","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterFatigueCoeAccu_kf","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterFatigueCoeAccu_kf__MIN","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterFatigueCoeAccu_kf__MAX"
"0","7","7","7","0.03298747539520264","0.03298747539520264","0.03298747539520264","8","8","8","0.05260062590241432","0.05260062590241432","0.05260062590241432","8","8","8","0.02508416585624218","0.02508416585624218","0.02508416585624218","8","8","8","0.03546452894806862","0.03546452894806862","0.03546452894806862","8","8","8","0.04553324729204178","0.04553324729204178","0.04553324729204178","7","7","7","0.036267541348934174","0.036267541348934174","0.036267541348934174","8","8","8","0.038433484733104706","0.038433484733104706","0.038433484733104706","8","8","8","0.03646630793809891","0.03646630793809891","0.03646630793809891"
"1","12","12","12","0.034115295857191086","0.034115295857191086","0.034115295857191086","14","14","14","0.042427048087120056","0.042427048087120056","0.042427048087120056","14","14","14","0.05478229746222496","0.05478229746222496","0.05478229746222496","14","14","14","0.040351975709199905","0.040351975709199905","0.040351975709199905","14","14","14","0.03348269313573837","0.03348269313573837","0.03348269313573837","12","12","12","0.026583334431052208","0.026583334431052208","0.026583334431052208","14","14","14","0.0342901237308979","0.0342901237308979","0.0342901237308979","14","14","14","0.04439932107925415","0.04439932107925415","0.04439932107925415"
"2","17","17","17","0.04579338803887367","0.04579338803887367","0.04579338803887367","20","20","20","0.06250879913568497","0.06250879913568497","0.06250879913568497","20","20","20","0.057484425604343414","0.057484425604343414","0.057484425604343414","20","20","20","0.049637459218502045","0.049637459218502045","0.049637459218502045","20","20","20","0.038903262466192245","0.038903262466192245","0.038903262466192245","17","17","17","0.04971175268292427","0.04971175268292427","0.04971175268292427","20","20","20","0.05866788327693939","0.05866788327693939","0.05866788327693939","20","20","20","0.06163662299513817","0.06163662299513817","0.06163662299513817"
"3","22","22","22","0.03521139547228813","0.03521139547228813","0.03521139547228813","26","26","26","0.051987819373607635","0.051987819373607635","0.051987819373607635","26","26","26","0.061566244810819626","0.061566244810819626","0.061566244810819626","26","26","26","0.04198699817061424","0.04198699817061424","0.04198699817061424","26","26","26","0.040754299610853195","0.040754299610853195","0.040754299610853195","22","22","22","0.04834951460361481","0.04834951460361481","0.04834951460361481","26","26","26","0.02483733370900154","0.02483733370900154","0.02483733370900154","26","26","26","0.04253532364964485","0.04253532364964485","0.04253532364964485"
"4","27","27","27","0.034560807049274445","0.034560807049274445","0.034560807049274445","32","32","32","0.03388248756527901","0.03388248756527901","0.03388248756527901","32","32","32","0.03979598730802536","0.03979598730802536","0.03979598730802536","32","32","32","0.03758995607495308","0.03758995607495308","0.03758995607495308","32","32","32","0.0424441359937191","0.0424441359937191","0.0424441359937191","27","27","27","0.03136148303747177","0.03136148303747177","0.03136148303747177","32","32","32","0.03696658834815025","0.03696658834815025","0.03696658834815025","32","32","32","0.04907655715942383","0.04907655715942383","0.04907655715942383"
"5","32","32","32","0.03519172966480255","0.03519172966480255","0.03519172966480255","38","38","38","0.043333735316991806","0.043333735316991806","0.043333735316991806","38","38","38","0.03415874019265175","0.03415874019265175","0.03415874019265175","38","38","38","0.03048986755311489","0.03048986755311489","0.03048986755311489","38","38","38","0.03747706487774849","0.03747706487774849","0.03747706487774849","32","32","32","0.040472134947776794","0.040472134947776794","0.040472134947776794","38","38","38","0.034331679344177246","0.034331679344177246","0.034331679344177246","38","38","38","0.03378837928175926","0.03378837928175926","0.03378837928175926"
"6","37","37","37","0.032075587660074234","0.032075587660074234","0.032075587660074234","44","44","44","0.04807770624756813","0.04807770624756813","0.04807770624756813","44","44","44","0.03904232382774353","0.03904232382774353","0.03904232382774353","44","44","44","0.042164843529462814","0.042164843529462814","0.042164843529462814","44","44","44","0.028362588956952095","0.028362588956952095","0.028362588956952095","37","37","37","0.03241272643208504","0.03241272643208504","0.03241272643208504","44","44","44","0.03427193686366081","0.03427193686366081","0.03427193686366081","44","44","44","0.06098369136452675","0.06098369136452675","0.06098369136452675"
"7","42","42","42","0.04544670879840851","0.04544670879840851","0.04544670879840851","50","50","50","0.035950277000665665","0.035950277000665665","0.035950277000665665","50","50","50","0.038874104619026184","0.038874104619026184","0.038874104619026184","50","50","50","0.0458294078707695","0.0458294078707695","0.0458294078707695","50","50","50","0.03545362502336502","0.03545362502336502","0.03545362502336502","42","42","42","0.045568909496068954","0.045568909496068954","0.045568909496068954","50","50","50","0.051951754838228226","0.051951754838228226","0.051951754838228226","50","50","50","0.05582632124423981","0.05582632124423981","0.05582632124423981"
"8","47","47","47","0.03955875709652901","0.03955875709652901","0.03955875709652901","56","56","56","0.03684735298156738","0.03684735298156738","0.03684735298156738","56","56","56","0.042584024369716644","0.042584024369716644","0.042584024369716644","56","56","56","0.040037356317043304","0.040037356317043304","0.040037356317043304","56","56","56","0.039349574595689774","0.039349574595689774","0.039349574595689774","47","47","47","0.04213689640164375","0.04213689640164375","0.04213689640164375","56","56","56","0.04733026400208473","0.04733026400208473","0.04733026400208473","56","56","56","0.044891346246004105","0.044891346246004105","0.044891346246004105"
"9","52","52","52","0.04669403284788132","0.04669403284788132","0.04669403284788132","62","62","62","0.05259780213236809","0.05259780213236809","0.05259780213236809","62","62","62","0.05010932311415672","0.05010932311415672","0.05010932311415672","62","62","62","0.03148685395717621","0.03148685395717621","0.03148685395717621","62","62","62","0.045097749680280685","0.045097749680280685","0.045097749680280685","52","52","52","0.05687979236245155","0.05687979236245155","0.05687979236245155","62","62","62","0.04394717887043953","0.04394717887043953","0.04394717887043953","62","62","62","0.06235690787434578","0.06235690787434578","0.06235690787434578"
"10","57","57","57","0.06829791516065598","0.06829791516065598","0.06829791516065598","68","68","68","0.04944242909550667","0.04944242909550667","0.04944242909550667","68","68","68","0.0539717897772789","0.0539717897772789","0.0539717897772789","68","68","68","0.04019775614142418","0.04019775614142418","0.04019775614142418","68","68","68","0.04296552389860153","0.04296552389860153","0.04296552389860153","57","57","57","0.03691358491778374","0.03691358491778374","0.03691358491778374","68","68","68","0.04030517861247063","0.04030517861247063","0.04030517861247063","68","68","68","0.060396984219551086","0.060396984219551086","0.060396984219551086"
"11","62","62","62","0.06593942642211914","0.06593942642211914","0.06593942642211914","74","74","74","0.03619984909892082","0.03619984909892082","0.03619984909892082","74","74","74","0.04917645454406738","0.04917645454406738","0.04917645454406738","74","74","74","0.04903777316212654","0.04903777316212654","0.04903777316212654","74","74","74","0.038565848022699356","0.038565848022699356","0.038565848022699356","62","62","62","0.046592216938734055","0.046592216938734055","0.046592216938734055","74","74","74","0.04836919158697128","0.04836919158697128","0.04836919158697128","74","74","74","0.046989746391773224","0.046989746391773224","0.046989746391773224"
"12","67","67","67","0.03797256201505661","0.03797256201505661","0.03797256201505661","80","80","80","0.04062288627028465","0.04062288627028465","0.04062288627028465","80","80","80","0.034038156270980835","0.034038156270980835","0.034038156270980835","80","80","80","0.04077114537358284","0.04077114537358284","0.04077114537358284","80","80","80","0.02868817001581192","0.02868817001581192","0.02868817001581192","67","67","67","0.04285686835646629","0.04285686835646629","0.04285686835646629","80","80","80","0.03471136838197708","0.03471136838197708","0.03471136838197708","80","80","80","0.044259846210479736","0.044259846210479736","0.044259846210479736"
"13","72","72","72","0.037010110914707184","0.037010110914707184","0.037010110914707184","86","86","86","0.061356306076049805","0.061356306076049805","0.061356306076049805","86","86","86","0.05663874372839928","0.05663874372839928","0.05663874372839928","86","86","86","0.05525136739015579","0.05525136739015579","0.05525136739015579","86","86","86","0.04105221480131149","0.04105221480131149","0.04105221480131149","72","72","72","0.03594900667667389","0.03594900667667389","0.03594900667667389","86","86","86","0.0511658750474453","0.0511658750474453","0.0511658750474453","86","86","86","0.039968959987163544","0.039968959987163544","0.039968959987163544"
"14","77","77","77","0.03734567388892174","0.03734567388892174","0.03734567388892174","92","92","92","0.037709105759859085","0.037709105759859085","0.037709105759859085","92","92","92","0.04065629094839096","0.04065629094839096","0.04065629094839096","92","92","92","0.04803460091352463","0.04803460091352463","0.04803460091352463","92","92","92","0.040770500898361206","0.040770500898361206","0.040770500898361206","77","77","77","0.04893788322806358","0.04893788322806358","0.04893788322806358","92","92","92","0.05252784490585327","0.05252784490585327","0.05252784490585327","92","92","92","0.03784925863146782","0.03784925863146782","0.03784925863146782"
"15","82","82","82","0.030744818970561028","0.030744818970561028","0.030744818970561028","98","98","98","0.045393284410238266","0.045393284410238266","0.045393284410238266","98","98","98","0.0343693271279335","0.0343693271279335","0.0343693271279335","98","98","98","0.03879288583993912","0.03879288583993912","0.03879288583993912","98","98","98","0.03316028416156769","0.03316028416156769","0.03316028416156769","82","82","82","0.023722190409898758","0.023722190409898758","0.023722190409898758","98","98","98","0.03208591789007187","0.03208591789007187","0.03208591789007187","98","98","98","0.04336334019899368","0.04336334019899368","0.04336334019899368"
