"Evaluate/step_episode","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step__MIN","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step__MAX","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterPredictLoss","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterPredictLoss__MIN","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterPredictLoss__MAX","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step__MIN","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step__MAX","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterPredictLoss","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterPredictLoss__MIN","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterPredictLoss__MAX","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step__MIN","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step__MAX","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterPredictLoss","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterPredictLoss__MIN","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterPredictLoss__MAX","5_test_dqn_49600_2025-07-27_11-39-32 - _step","5_test_dqn_49600_2025-07-27_11-39-32 - _step__MIN","5_test_dqn_49600_2025-07-27_11-39-32 - _step__MAX","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterPredictLoss","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterPredictLoss__MIN","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterPredictLoss__MAX","6_test_dqn_49600_2025-07-29_13-21-06 - _step","6_test_dqn_49600_2025-07-29_13-21-06 - _step__MIN","6_test_dqn_49600_2025-07-29_13-21-06 - _step__MAX","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterPredictLoss","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterPredictLoss__MIN","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterPredictLoss__MAX","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step__MIN","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step__MAX","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterPredictLoss","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterPredictLoss__MIN","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterPredictLoss__MAX","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step__MIN","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step__MAX","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterPredictLoss","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterPredictLoss__MIN","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterPredictLoss__MAX","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step__MIN","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step__MAX","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterPredictLoss","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterPredictLoss__MIN","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterPredictLoss__MAX"
"0","6","6","6","0.000830529083032161","0.000830529083032161","0.000830529083032161","7","7","7","0.0006990801193751395","0.0006990801193751395","0.0006990801193751395","7","7","7","0.0007352828979492188","0.0007352828979492188","0.0007352828979492188","7","7","7","0.0009014210663735867","0.0009014210663735867","0.0009014210663735867","7","7","7","0.0005914059584029019","0.0005914059584029019","0.0005914059584029019","6","6","6","0.0006747810984961689","0.0006747810984961689","0.0006747810984961689","7","7","7","0.0009598591714166105","0.0009598591714166105","0.0009598591714166105","7","7","7","0.0007230086484923959","0.0007230086484923959","0.0007230086484923959"
"1","11","11","11","0.0008717036107555032","0.0008717036107555032","0.0008717036107555032","13","13","13","0.0009598522447049618","0.0009598522447049618","0.0009598522447049618","13","13","13","0.0007193580968305469","0.0007193580968305469","0.0007193580968305469","13","13","13","0.0008279029279947281","0.0008279029279947281","0.0008279029279947281","13","13","13","0.000875593104865402","0.000875593104865402","0.000875593104865402","11","11","11","0.00063365139067173","0.00063365139067173","0.00063365139067173","13","13","13","0.0005326105747371912","0.0005326105747371912","0.0005326105747371912","13","13","13","0.0006708933506160975","0.0006708933506160975","0.0006708933506160975"
"2","16","16","16","0.000787144061177969","0.000787144061177969","0.000787144061177969","19","19","19","0.0010275471722707152","0.0010275471722707152","0.0010275471722707152","19","19","19","0.001053935382515192","0.001053935382515192","0.001053935382515192","19","19","19","0.0009761354303918779","0.0009761354303918779","0.0009761354303918779","19","19","19","0.0006221400690265","0.0006221400690265","0.0006221400690265","16","16","16","0.00182993127964437","0.00182993127964437","0.00182993127964437","19","19","19","0.001143881119787693","0.001143881119787693","0.001143881119787693","19","19","19","0.0011699574533849955","0.0011699574533849955","0.0011699574533849955"
"3","21","21","21","0.001130104879848659","0.001130104879848659","0.001130104879848659","25","25","25","0.0009722664835862815","0.0009722664835862815","0.0009722664835862815","25","25","25","0.0008274955907836556","0.0008274955907836556","0.0008274955907836556","25","25","25","0.000968409061897546","0.000968409061897546","0.000968409061897546","25","25","25","0.0009299126686528325","0.0009299126686528325","0.0009299126686528325","21","21","21","0.001353015541099012","0.001353015541099012","0.001353015541099012","25","25","25","0.0009569842950440943","0.0009569842950440943","0.0009569842950440943","25","25","25","0.0010755036491900682","0.0010755036491900682","0.0010755036491900682"
"4","26","26","26","0.0010601457906886935","0.0010601457906886935","0.0010601457906886935","31","31","31","0.0009364537545479834","0.0009364537545479834","0.0009364537545479834","31","31","31","0.0007842269260436296","0.0007842269260436296","0.0007842269260436296","31","31","31","0.0008560845744796097","0.0008560845744796097","0.0008560845744796097","31","31","31","0.0007329538930207491","0.0007329538930207491","0.0007329538930207491","26","26","26","0.0009531509131193161","0.0009531509131193161","0.0009531509131193161","31","31","31","0.0009318848024122417","0.0009318848024122417","0.0009318848024122417","31","31","31","0.000599176564719528","0.000599176564719528","0.000599176564719528"
"5","31","31","31","0.0008777364273555577","0.0008777364273555577","0.0008777364273555577","37","37","37","0.0008701328770257533","0.0008701328770257533","0.0008701328770257533","37","37","37","0.0009080310119315982","0.0009080310119315982","0.0009080310119315982","37","37","37","0.0008662802283652127","0.0008662802283652127","0.0008662802283652127","37","37","37","0.0006177060422487557","0.0006177060422487557","0.0006177060422487557","31","31","31","0.0009341079276055098","0.0009341079276055098","0.0009341079276055098","37","37","37","0.0009549787500873208","0.0009549787500873208","0.0009549787500873208","37","37","37","0.0006499802693724632","0.0006499802693724632","0.0006499802693724632"
"6","36","36","36","0.0007826725486665964","0.0007826725486665964","0.0007826725486665964","43","43","43","0.0006670234142802656","0.0006670234142802656","0.0006670234142802656","43","43","43","0.0005849828594364226","0.0005849828594364226","0.0005849828594364226","43","43","43","0.0008919371175579727","0.0008919371175579727","0.0008919371175579727","43","43","43","0.0008816018234938383","0.0008816018234938383","0.0008816018234938383","36","36","36","0.0009136601584032178","0.0009136601584032178","0.0009136601584032178","43","43","43","0.0006641296204179525","0.0006641296204179525","0.0006641296204179525","43","43","43","0.000945204054005444","0.000945204054005444","0.000945204054005444"
"7","41","41","41","0.0008316908497363329","0.0008316908497363329","0.0008316908497363329","49","49","49","0.0011503433343023062","0.0011503433343023062","0.0011503433343023062","49","49","49","0.0014120719861239195","0.0014120719861239195","0.0014120719861239195","49","49","49","0.0009409296326339245","0.0009409296326339245","0.0009409296326339245","49","49","49","0.000842433248180896","0.000842433248180896","0.000842433248180896","41","41","41","0.0009408370824530721","0.0009408370824530721","0.0009408370824530721","49","49","49","0.0014875043416395783","0.0014875043416395783","0.0014875043416395783","49","49","49","0.001069014542736113","0.001069014542736113","0.001069014542736113"
"8","46","46","46","0.001061230548657477","0.001061230548657477","0.001061230548657477","55","55","55","0.0008880408713594079","0.0008880408713594079","0.0008880408713594079","55","55","55","0.0006922712200321257","0.0006922712200321257","0.0006922712200321257","55","55","55","0.0008931413176469505","0.0008931413176469505","0.0008931413176469505","55","55","55","0.0008223119657486677","0.0008223119657486677","0.0008223119657486677","46","46","46","0.0009041856974363327","0.0009041856974363327","0.0009041856974363327","55","55","55","0.000780198723077774","0.000780198723077774","0.000780198723077774","55","55","55","0.0008684499189257622","0.0008684499189257622","0.0008684499189257622"
"9","51","51","51","0.0008609932265244424","0.0008609932265244424","0.0008609932265244424","61","61","61","0.0008777176262810826","0.0008777176262810826","0.0008777176262810826","61","61","61","0.0008305653464049101","0.0008305653464049101","0.0008305653464049101","61","61","61","0.0014154004165902734","0.0014154004165902734","0.0014154004165902734","61","61","61","0.0008686092915013433","0.0008686092915013433","0.0008686092915013433","51","51","51","0.0005765031673945487","0.0005765031673945487","0.0005765031673945487","61","61","61","0.0009961874457076192","0.0009961874457076192","0.0009961874457076192","61","61","61","0.001098640845157206","0.001098640845157206","0.001098640845157206"
