"Evaluate/step_episode","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step__MIN","3_test_rl_filter_54400_2025-07-20_12-17-12 - _step__MAX","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterRecoverCoeAccu_kf","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterRecoverCoeAccu_kf__MIN","3_test_rl_filter_54400_2025-07-20_12-17-12 - Evaluate/EpFilterRecoverCoeAccu_kf__MAX","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step__MIN","8_test_ppo_dis_49600_2025-07-30_13-18-07 - _step__MAX","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterRecoverCoeAccu_kf","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterRecoverCoeAccu_kf__MIN","8_test_ppo_dis_49600_2025-07-30_13-18-07 - Evaluate/EpFilterRecoverCoeAccu_kf__MAX","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step__MIN","7_test_ppo_dis_49600_2025-07-31_13-37-58 - _step__MAX","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterRecoverCoeAccu_kf","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterRecoverCoeAccu_kf__MIN","7_test_ppo_dis_49600_2025-07-31_13-37-58 - Evaluate/EpFilterRecoverCoeAccu_kf__MAX","5_test_dqn_49600_2025-07-27_11-39-32 - _step","5_test_dqn_49600_2025-07-27_11-39-32 - _step__MIN","5_test_dqn_49600_2025-07-27_11-39-32 - _step__MAX","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterRecoverCoeAccu_kf","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterRecoverCoeAccu_kf__MIN","5_test_dqn_49600_2025-07-27_11-39-32 - Evaluate/EpFilterRecoverCoeAccu_kf__MAX","6_test_dqn_49600_2025-07-29_13-21-06 - _step","6_test_dqn_49600_2025-07-29_13-21-06 - _step__MIN","6_test_dqn_49600_2025-07-29_13-21-06 - _step__MAX","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterRecoverCoeAccu_kf","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterRecoverCoeAccu_kf__MIN","6_test_dqn_49600_2025-07-29_13-21-06 - Evaluate/EpFilterRecoverCoeAccu_kf__MAX","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step__MIN","2_test_rl_filter_49600_2025-07-29_22-22-18 - _step__MAX","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterRecoverCoeAccu_kf","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterRecoverCoeAccu_kf__MIN","2_test_rl_filter_49600_2025-07-29_22-22-18 - Evaluate/EpFilterRecoverCoeAccu_kf__MAX","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step__MIN","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - _step__MAX","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterRecoverCoeAccu_kf","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterRecoverCoeAccu_kf__MIN","10_test_ppolag_filter_dis_49600_2025-08-08_13-46-57 - Evaluate/EpFilterRecoverCoeAccu_kf__MAX","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step__MIN","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - _step__MAX","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterRecoverCoeAccu_kf","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterRecoverCoeAccu_kf__MIN","9_test_ppolag_filter_dis_49600_2025-08-08_13-49-16 - Evaluate/EpFilterRecoverCoeAccu_kf__MAX"
"0","7","7","7","0.013201424852013588","0.013201424852013588","0.013201424852013588","8","8","8","0.04231671616435051","0.04231671616435051","0.04231671616435051","8","8","8","0.02743668481707573","0.02743668481707573","0.02743668481707573","8","8","8","0.0283875223249197","0.0283875223249197","0.0283875223249197","8","8","8","0.011951831169426441","0.011951831169426441","0.011951831169426441","7","7","7","0.015539553947746754","0.015539553947746754","0.015539553947746754","8","8","8","0.022200319916009903","0.022200319916009903","0.022200319916009903","8","8","8","0.04235781729221344","0.04235781729221344","0.04235781729221344"
"1","12","12","12","0.025264425203204155","0.025264425203204155","0.025264425203204155","14","14","14","0.021271510049700737","0.021271510049700737","0.021271510049700737","14","14","14","0.016039559617638588","0.016039559617638588","0.016039559617638588","14","14","14","0.028755664825439453","0.028755664825439453","0.028755664825439453","14","14","14","0.01742585562169552","0.01742585562169552","0.01742585562169552","12","12","12","0.02595943585038185","0.02595943585038185","0.02595943585038185","14","14","14","0.02017393335700035","0.02017393335700035","0.02017393335700035","14","14","14","0.03791580721735954","0.03791580721735954","0.03791580721735954"
"2","17","17","17","0.010604731738567352","0.010604731738567352","0.010604731738567352","20","20","20","0.009254367090761662","0.009254367090761662","0.009254367090761662","20","20","20","0.02260153740644455","0.02260153740644455","0.02260153740644455","20","20","20","0.020522501319646835","0.020522501319646835","0.020522501319646835","20","20","20","0.013706492260098457","0.013706492260098457","0.013706492260098457","17","17","17","0.020122556015849113","0.020122556015849113","0.020122556015849113","20","20","20","0.011321916244924068","0.011321916244924068","0.011321916244924068","20","20","20","0.022316673770546913","0.022316673770546913","0.022316673770546913"
"3","22","22","22","0.018123729154467583","0.018123729154467583","0.018123729154467583","26","26","26","0.013587534427642822","0.013587534427642822","0.013587534427642822","26","26","26","0.028092708438634872","0.028092708438634872","0.028092708438634872","26","26","26","0.02113557606935501","0.02113557606935501","0.02113557606935501","26","26","26","0.020929735153913498","0.020929735153913498","0.020929735153913498","22","22","22","0.02977326512336731","0.02977326512336731","0.02977326512336731","26","26","26","0.021458085626363754","0.021458085626363754","0.021458085626363754","26","26","26","0.047169461846351624","0.047169461846351624","0.047169461846351624"
"4","27","27","27","0.009636012837290764","0.009636012837290764","0.009636012837290764","32","32","32","0.03528208285570145","0.03528208285570145","0.03528208285570145","32","32","32","0.029483217746019363","0.029483217746019363","0.029483217746019363","32","32","32","0.016953637823462486","0.016953637823462486","0.016953637823462486","32","32","32","0.026336433365941048","0.026336433365941048","0.026336433365941048","27","27","27","0.021976454183459282","0.021976454183459282","0.021976454183459282","32","32","32","0.022202210500836372","0.022202210500836372","0.022202210500836372","32","32","32","0.04191672056913376","0.04191672056913376","0.04191672056913376"
"5","32","32","32","0.027520813047885895","0.027520813047885895","0.027520813047885895","38","38","38","0.02895849570631981","0.02895849570631981","0.02895849570631981","38","38","38","0.017264148220419884","0.017264148220419884","0.017264148220419884","38","38","38","0.009013429284095764","0.009013429284095764","0.009013429284095764","38","38","38","0.02107243239879608","0.02107243239879608","0.02107243239879608","32","32","32","0.01867782138288021","0.01867782138288021","0.01867782138288021","38","38","38","0.030025845393538475","0.030025845393538475","0.030025845393538475","38","38","38","0.0210051741451025","0.0210051741451025","0.0210051741451025"
"6","37","37","37","0.030337171629071236","0.030337171629071236","0.030337171629071236","44","44","44","0.008730009198188782","0.008730009198188782","0.008730009198188782","44","44","44","0.03944142162799835","0.03944142162799835","0.03944142162799835","44","44","44","0.02869080752134323","0.02869080752134323","0.02869080752134323","44","44","44","0.01339489221572876","0.01339489221572876","0.01339489221572876","37","37","37","0.009503848850727081","0.009503848850727081","0.009503848850727081","44","44","44","0.032459720969200134","0.032459720969200134","0.032459720969200134","44","44","44","0.02493388205766678","0.02493388205766678","0.02493388205766678"
"7","42","42","42","0.018660906702280045","0.018660906702280045","0.018660906702280045","50","50","50","0.026558952406048775","0.026558952406048775","0.026558952406048775","50","50","50","0.020602038130164146","0.020602038130164146","0.020602038130164146","50","50","50","0.01688140444457531","0.01688140444457531","0.01688140444457531","50","50","50","0.01400059461593628","0.01400059461593628","0.01400059461593628","42","42","42","0.01932119019329548","0.01932119019329548","0.01932119019329548","50","50","50","0.017817318439483643","0.017817318439483643","0.017817318439483643","50","50","50","0.018373671919107437","0.018373671919107437","0.018373671919107437"
"8","47","47","47","0.01868009753525257","0.01868009753525257","0.01868009753525257","56","56","56","0.035974934697151184","0.035974934697151184","0.035974934697151184","56","56","56","0.034172773361206055","0.034172773361206055","0.034172773361206055","56","56","56","0.022736582905054092","0.022736582905054092","0.022736582905054092","56","56","56","0.027520805597305298","0.027520805597305298","0.027520805597305298","47","47","47","0.019095778465270996","0.019095778465270996","0.019095778465270996","56","56","56","0.037898432463407516","0.037898432463407516","0.037898432463407516","56","56","56","0.04823395609855652","0.04823395609855652","0.04823395609855652"
"9","52","52","52","0.009251548908650875","0.009251548908650875","0.009251548908650875","62","62","62","0.021749941632151604","0.021749941632151604","0.021749941632151604","62","62","62","0.030497414991259575","0.030497414991259575","0.030497414991259575","62","62","62","0.015243370085954666","0.015243370085954666","0.015243370085954666","62","62","62","0.02020030841231346","0.02020030841231346","0.02020030841231346","52","52","52","0.007760533131659031","0.007760533131659031","0.007760533131659031","62","62","62","0.03303198516368866","0.03303198516368866","0.03303198516368866","62","62","62","0.010085267946124077","0.010085267946124077","0.010085267946124077"
