"Metrics/step_episode","cpo_filter_2025-11-19_21-13-35 - Metrics/EpEnvLen","cpo_filter_2025-11-19_21-13-35 - Metrics/EpEnvLen__MIN","cpo_filter_2025-11-19_21-13-35 - Metrics/EpEnvLen__MAX","cpo_filter_2025-11-19_21-13-35 - _step","cpo_filter_2025-11-19_21-13-35 - _step__MIN","cpo_filter_2025-11-19_21-13-35 - _step__MAX"
"1","1491","1491","1491","4","4","4"
"2","1929","1929","1929","11","11","11"
"3","1824","1824","1824","18","18","18"
"4","1824","1824","1824","20","20","20"
"5","1824","1824","1824","23","23","23"
"6","1824","1824","1824","26","26","26"
"7","1824","1824","1824","29","29","29"
"8","1824","1824","1824","32","32","32"
"9","1824","1824","1824","35","35","35"
"10","1824","1824","1824","38","38","38"
"11","1824","1824","1824","40","40","40"
"12","1824","1824","1824","43","43","43"
"13","1999","1999","1999","55","55","55"
"14","1604","1604","1604","62","62","62"
"15","1211","1211","1211","69","69","69"
"16","1213","1213","1213","76","76","76"
"17","1435","1435","1435","83","83","83"
"18","1112","1112","1112","90","90","90"
"19","1162","1162","1162","97","97","97"
"20","1162","1162","1162","99","99","99"
"21","1162","1162","1162","101","101","101"
"22","1162","1162","1162","103","103","103"
"23","1162","1162","1162","105","105","105"
"24","1162","1162","1162","107","107","107"
"25","1162","1162","1162","109","109","109"
"26","1162","1162","1162","112","112","112"
"27","1162","1162","1162","114","114","114"
"28","1162","1162","1162","116","116","116"
"29","1803","1803","1803","123","123","123"
"30","1803","1803","1803","125","125","125"
"31","1803","1803","1803","127","127","127"
"32","1803","1803","1803","129","129","129"
"33","1803","1803","1803","132","132","132"
"34","1803","1803","1803","134","134","134"
"35","1803","1803","1803","136","136","136"
"36","1803","1803","1803","138","138","138"
"37","1803","1803","1803","140","140","140"
"38","1803","1803","1803","143","143","143"
"39","1999","1999","1999","153","153","153"
"40","1999","1999","1999","164","164","164"
"41","1483","1483","1483","171","171","171"
"42","1483","1483","1483","173","173","173"
"43","1483","1483","1483","175","175","175"
"44","1483","1483","1483","177","177","177"
"45","1483","1483","1483","179","179","179"
"46","1483","1483","1483","181","181","181"
"47","1483","1483","1483","183","183","183"
"48","1483","1483","1483","185","185","185"
"49","1483","1483","1483","187","187","187"
"50","1483","1483","1483","190","190","190"
"51","1247","1247","1247","197","197","197"
"52","1247","1247","1247","199","199","199"
"53","1247","1247","1247","201","201","201"
"54","1247","1247","1247","203","203","203"
"55","1247","1247","1247","205","205","205"
"56","1247","1247","1247","207","207","207"
"57","1247","1247","1247","209","209","209"
"58","1247","1247","1247","211","211","211"
"59","1247","1247","1247","213","213","213"
"60","1247","1247","1247","215","215","215"
"61","1237","1237","1237","222","222","222"
"62","1237","1237","1237","225","225","225"
"63","1237","1237","1237","227","227","227"
"64","1237","1237","1237","229","229","229"
"65","1237","1237","1237","231","231","231"
"66","1237","1237","1237","233","233","233"
"67","1237","1237","1237","235","235","235"
"68","1237","1237","1237","237","237","237"
"69","1237","1237","1237","239","239","239"
"70","1237","1237","1237","241","241","241"
"71","1740","1740","1740","249","249","249"
"72","1740","1740","1740","251","251","251"
"73","1740","1740","1740","254","254","254"
"74","1740","1740","1740","256","256","256"
"75","1740","1740","1740","259","259","259"
"76","1740","1740","1740","261","261","261"
"77","1740","1740","1740","264","264","264"
"78","1740","1740","1740","266","266","266"
"79","1740","1740","1740","269","269","269"
"80","1740","1740","1740","272","272","272"
"81","1139","1139","1139","279","279","279"
"82","1139","1139","1139","281","281","281"
