"Train/step","cpo_filter_2025-11-19_21-13-35 - Train/Mrewards","cpo_filter_2025-11-19_21-13-35 - Train/Mrewards__MIN","cpo_filter_2025-11-19_21-13-35 - Train/Mrewards__MAX","cpo_filter_2025-11-19_21-13-35 - _step","cpo_filter_2025-11-19_21-13-35 - _step__MIN","cpo_filter_2025-11-19_21-13-35 - _step__MAX"
"107","-7.370001792907715","-7.370001792907715","-7.370001792907715","7","7","7"
"340","-14.73800277709961","-14.73800277709961","-14.73800277709961","14","14","14"
"3960","-35.89661407470703","-35.89661407470703","-35.89661407470703","46","46","46"
"5610","-47.6656379699707","-47.6656379699707","-47.6656379699707","58","58","58"
"5642","-44.21424102783203","-44.21424102783203","-44.21424102783203","65","65","65"
"5674","-41.17062759399414","-41.17062759399414","-41.17062759399414","72","72","72"
"5706","-38.507713317871094","-38.507713317871094","-38.507713317871094","79","79","79"
"5737","-36.177730560302734","-36.177730560302734","-36.177730560302734","86","86","86"
"5768","-34.07074737548828","-34.07074737548828","-34.07074737548828","93","93","93"
"6078","-21.093955993652344","-21.093955993652344","-21.093955993652344","119","119","119"
"6808","-16.651330947875977","-16.651330947875977","-16.651330947875977","146","146","146"
"8011","-19.71028709411621","-19.71028709411621","-19.71028709411621","156","156","156"
"9667","-23.95667839050293","-23.95667839050293","-23.95667839050293","167","167","167"
"10037","-19.17924690246582","-19.17924690246582","-19.17924690246582","193","193","193"
"10357","-15.762176513671875","-15.762176513671875","-15.762176513671875","218","218","218"
"10677","-13.280614852905273","-13.280614852905273","-13.280614852905273","244","244","244"
"12817","-14.830649375915527","-14.830649375915527","-14.830649375915527","275","275","275"
"13127","-12.991161346435547","-12.991161346435547","-12.991161346435547","300","300","300"
"13447","-11.463589668273926","-11.463589668273926","-11.463589668273926","326","326","326"
"13787","-10.340699195861816","-10.340699195861816","-10.340699195861816","352","352","352"
"14097","-9.223039627075195","-9.223039627075195","-9.223039627075195","378","378","378"
"14757","-8.620504379272461","-8.620504379272461","-8.620504379272461","404","404","404"
"15808","-9.71956729888916","-9.71956729888916","-9.71956729888916","414","414","414"
"17233","-11.249313354492188","-11.249313354492188","-11.249313354492188","425","425","425"
"17603","-10.049040794372559","-10.049040794372559","-10.049040794372559","451","451","451"
"17913","-9.050678253173828","-9.050678253173828","-9.050678253173828","476","476","476"
"18223","-7.981749057769775","-7.981749057769775","-7.981749057769775","502","502","502"
"18633","-7.0887675285339355","-7.0887675285339355","-7.0887675285339355","528","528","528"
"21771","-10.603489875793457","-10.603489875793457","-10.603489875793457","543","543","543"
"24441","-11.9813814163208","-11.9813814163208","-11.9813814163208","575","575","575"
"25841","-11.83096694946289","-11.83096694946289","-11.83096694946289","603","603","603"
"27432","-13.531517028808594","-13.531517028808594","-13.531517028808594","614","614","614"
"28849","-15.01418399810791","-15.01418399810791","-15.01418399810791","625","625","625"
"30347","-16.57874298095703","-16.57874298095703","-16.57874298095703","635","635","635"
"30697","-15.03011703491211","-15.03011703491211","-15.03011703491211","661","661","661"
"34227","-16.714529037475586","-16.714529037475586","-16.714529037475586","695","695","695"
"34537","-14.876666069030762","-14.876666069030762","-14.876666069030762","721","721","721"
"34877","-13.429662704467773","-13.429662704467773","-13.429662704467773","747","747","747"
"36607","-13.50393295288086","-13.50393295288086","-13.50393295288086","776","776","776"
"38607","-13.889410972595215","-13.889410972595215","-13.889410972595215","806","806","806"
"40174","-15.542495727539062","-15.542495727539062","-15.542495727539062","817","817","817"
"42434","-15.816401481628418","-15.816401481628418","-15.816401481628418","848","848","848"
"43280","-16.581310272216797","-16.581310272216797","-16.581310272216797","857","857","857"
"43881","-17.075971603393555","-17.075971603393555","-17.075971603393555","865","865","865"
"45038","-18.20439910888672","-18.20439910888672","-18.20439910888672","875","875","875"
"45348","-16.229084014892578","-16.229084014892578","-16.229084014892578","901","901","901"
"45698","-14.671534538269043","-14.671534538269043","-14.671534538269043","927","927","927"
"46544","-15.457691192626953","-15.457691192626953","-15.457691192626953","936","936","936"
"47164","-14.21498966217041","-14.21498966217041","-14.21498966217041","962","962","962"
"48767","-15.905138969421387","-15.905138969421387","-15.905138969421387","973","973","973"
"49297","-14.4324312210083","-14.4324312210083","-14.4324312210083","1000","1000","1000"
"49607","-12.878362655639648","-12.878362655639648","-12.878362655639648","1026","1026","1026"
"49940","-13.100699424743652","-13.100699424743652","-13.100699424743652","1033","1033","1033"
"53100","-14.640353202819824","-14.640353202819824","-14.640353202819824","1066","1066","1066"
"53410","-13.015233039855957","-13.015233039855957","-13.015233039855957","1092","1092","1092"
"55614","-15.379290580749512","-15.379290580749512","-15.379290580749512","1105","1105","1105"
"57010","-16.810760498046875","-16.810760498046875","-16.810760498046875","1115","1115","1115"
"57400","-15.188688278198242","-15.188688278198242","-15.188688278198242","1141","1141","1141"
"57889","-15.571839332580566","-15.571839332580566","-15.571839332580566","1149","1149","1149"
"59071","-16.742107391357422","-16.742107391357422","-16.742107391357422","1159","1159","1159"
"60492","-18.197147369384766","-18.197147369384766","-18.197147369384766","1170","1170","1170"
"62075","-19.825075149536133","-19.825075149536133","-19.825075149536133","1181","1181","1181"
"62385","-17.764982223510742","-17.764982223510742","-17.764982223510742","1206","1206","1206"
"62695","-15.82728099822998","-15.82728099822998","-15.82728099822998","1232","1232","1232"
"64688","-17.922502517700195","-17.922502517700195","-17.922502517700195","1244","1244","1244"
"64998","-16.109891891479492","-16.109891891479492","-16.109891891479492","1270","1270","1270"
"66598","-15.768102645874023","-15.768102645874023","-15.768102645874023","1335","1335","1335"
"66948","-14.11543083190918","-14.11543083190918","-14.11543083190918","1361","1361","1361"
"68363","-15.590019226074219","-15.590019226074219","-15.590019226074219","1371","1371","1371"
"69606","-16.82842445373535","-16.82842445373535","-16.82842445373535","1382","1382","1382"
"69976","-15.239493370056152","-15.239493370056152","-15.239493370056152","1407","1407","1407"
"70316","-13.608386039733887","-13.608386039733887","-13.608386039733887","1433","1433","1433"
"70686","-12.115461349487305","-12.115461349487305","-12.115461349487305","1459","1459","1459"
"71226","-11.151530265808105","-11.151530265808105","-11.151530265808105","1486","1486","1486"
"74246","-12.906063079833984","-12.906063079833984","-12.906063079833984","1518","1518","1518"
"75904","-14.674901008605957","-14.674901008605957","-14.674901008605957","1529","1529","1529"
"76304","-13.292236328125","-13.292236328125","-13.292236328125","1555","1555","1555"
"77874","-13.146553993225098","-13.146553993225098","-13.146553993225098","1584","1584","1584"
"84694","-18.23635482788086","-18.23635482788086","-18.23635482788086","1626","1626","1626"
"86341","-19.935571670532227","-19.935571670532227","-19.935571670532227","1637","1637","1637"
"87732","-21.323078155517578","-21.323078155517578","-21.323078155517578","1648","1648","1648"
"93832","-23.815298080444336","-23.815298080444336","-23.815298080444336","1688","1688","1688"
"96985","-27.17955780029297","-27.17955780029297","-27.17955780029297","1703","1703","1703"
"97305","-24.50972557067871","-24.50972557067871","-24.50972557067871","1729","1729","1729"
"98526","-25.64429473876953","-25.64429473876953","-25.64429473876953","1739","1739","1739"
"98836","-23.113821029663086","-23.113821029663086","-23.113821029663086","1765","1765","1765"
"100258","-24.506263732910156","-24.506263732910156","-24.506263732910156","1775","1775","1775"
"101495","-25.648786544799805","-25.648786544799805","-25.648786544799805","1785","1785","1785"
"101835","-23.21375846862793","-23.21375846862793","-23.21375846862793","1811","1811","1811"
"102325","-21.019969940185547","-21.019969940185547","-21.019969940185547","1837","1837","1837"
"104695","-20.31770896911621","-20.31770896911621","-20.31770896911621","1868","1868","1868"
"105005","-18.320018768310547","-18.320018768310547","-18.320018768310547","1894","1894","1894"
"105315","-16.460538864135742","-16.460538864135742","-16.460538864135742","1920","1920","1920"
"107313","-18.588626861572266","-18.588626861572266","-18.588626861572266","1931","1931","1931"
"109111","-20.467435836791992","-20.467435836791992","-20.467435836791992","1941","1941","1941"
"110609","-21.985464096069336","-21.985464096069336","-21.985464096069336","1951","1951","1951"
"112107","-23.488309860229492","-23.488309860229492","-23.488309860229492","1961","1961","1961"
"113905","-25.318124771118164","-25.318124771118164","-25.318124771118164","1971","1971","1971"
"115303","-26.673646926879883","-26.673646926879883","-26.673646926879883","1981","1981","1981"
"116701","-28.015615463256836","-28.015615463256836","-28.015615463256836","1990","1990","1990"
"120199","-31.738319396972656","-31.738319396972656","-31.738319396972656","2005","2005","2005"
"122197","-33.713626861572266","-33.713626861572266","-33.713626861572266","2016","2016","2016"
"124195","-35.669185638427734","-35.669185638427734","-35.669185638427734","2027","2027","2027"
"125993","-37.37718963623047","-37.37718963623047","-37.37718963623047","2037","2037","2037"
"127491","-38.72611618041992","-38.72611618041992","-38.72611618041992","2047","2047","2047"
"128989","-40.06155776977539","-40.06155776977539","-40.06155776977539","2057","2057","2057"
"130787","-41.72563934326172","-41.72563934326172","-41.72563934326172","2067","2067","2067"
"132185","-42.917083740234375","-42.917083740234375","-42.917083740234375","2077","2077","2077"
"133583","-44.096614837646484","-44.096614837646484","-44.096614837646484","2086","2086","2086"
"137081","-47.65850830078125","-47.65850830078125","-47.65850830078125","2101","2101","2101"
"139079","-49.47461700439453","-49.47461700439453","-49.47461700439453","2112","2112","2112"
"141077","-51.27256774902344","-51.27256774902344","-51.27256774902344","2123","2123","2123"
"142875","-52.82453918457031","-52.82453918457031","-52.82453918457031","2134","2134","2134"
"144373","-54.01899337768555","-54.01899337768555","-54.01899337768555","2143","2143","2143"
"145871","-55.20150375366211","-55.20150375366211","-55.20150375366211","2153","2153","2153"
"147669","-56.71418380737305","-56.71418380737305","-56.71418380737305","2164","2164","2164"
"149067","-57.755741119384766","-57.755741119384766","-57.755741119384766","2173","2173","2173"
"150465","-58.78688430786133","-58.78688430786133","-58.78688430786133","2183","2183","2183"
"153963","-62.201873779296875","-62.201873779296875","-62.201873779296875","2197","2197","2197"
"155961","-63.8725471496582","-63.8725471496582","-63.8725471496582","2208","2208","2208"
"157959","-65.52651977539062","-65.52651977539062","-65.52651977539062","2219","2219","2219"
"159757","-66.93595123291016","-66.93595123291016","-66.93595123291016","2230","2230","2230"
"161255","-67.98928833007812","-67.98928833007812","-67.98928833007812","2240","2240","2240"
"162753","-69.03209686279297","-69.03209686279297","-69.03209686279297","2249","2249","2249"
"164551","-70.4064712524414","-70.4064712524414","-70.4064712524414","2260","2260","2260"
"165949","-71.31110382080078","-71.31110382080078","-71.31110382080078","2269","2269","2269"
"167347","-72.20669555664062","-72.20669555664062","-72.20669555664062","2279","2279","2279"
"170845","-75.48748779296875","-75.48748779296875","-75.48748779296875","2294","2294","2294"
"172843","-77.02530670166016","-77.02530670166016","-77.02530670166016","2305","2305","2305"
"174841","-78.54774475097656","-78.54774475097656","-78.54774475097656","2316","2316","2316"
"176639","-79.82695770263672","-79.82695770263672","-79.82695770263672","2326","2326","2326"
"178137","-80.75138854980469","-80.75138854980469","-80.75138854980469","2336","2336","2336"
"179635","-81.66657257080078","-81.66657257080078","-81.66657257080078","2346","2346","2346"
"181433","-82.91459655761719","-82.91459655761719","-82.91459655761719","2356","2356","2356"
"182831","-83.69414520263672","-83.69414520263672","-83.69414520263672","2366","2366","2366"
"184229","-84.46590423583984","-84.46590423583984","-84.46590423583984","2375","2375","2375"
"187727","-87.62410736083984","-87.62410736083984","-87.62410736083984","2390","2390","2390"
"189725","-89.04056549072266","-89.04056549072266","-89.04056549072266","2401","2401","2401"
"191723","-90.4428482055664","-90.4428482055664","-90.4428482055664","2412","2412","2412"
"193521","-91.60311126708984","-91.60311126708984","-91.60311126708984","2422","2422","2422"
"195019","-92.40978240966797","-92.40978240966797","-92.40978240966797","2432","2432","2432"
"196517","-93.20838928222656","-93.20838928222656","-93.20838928222656","2442","2442","2442"
"198315","-94.34100341796875","-94.34100341796875","-94.34100341796875","2452","2452","2452"
"199713","-95.00629425048828","-95.00629425048828","-95.00629425048828","2462","2462","2462"
"201111","-95.66493225097656","-95.66493225097656","-95.66493225097656","2471","2471","2471"
"204609","-98.71114349365234","-98.71114349365234","-98.71114349365234","2486","2486","2486"
"206607","-100.0167236328125","-100.0167236328125","-100.0167236328125","2497","2497","2497"
"208605","-101.30924224853516","-101.30924224853516","-101.30924224853516","2508","2508","2508"
"210403","-102.36084747314453","-102.36084747314453","-102.36084747314453","2519","2519","2519"
"211901","-103.0599365234375","-103.0599365234375","-103.0599365234375","2528","2528","2528"
"213399","-103.75203704833984","-103.75203704833984","-103.75203704833984","2538","2538","2538"
"215197","-104.77921295166016","-104.77921295166016","-104.77921295166016","2548","2548","2548"
"216595","-105.34011840820312","-105.34011840820312","-105.34011840820312","2558","2558","2558"
"217993","-105.89541625976562","-105.89541625976562","-105.89541625976562","2567","2567","2567"
"221491","-108.83932495117188","-108.83932495117188","-108.83932495117188","2582","2582","2582"
"223489","-110.04361724853516","-110.04361724853516","-110.04361724853516","2593","2593","2593"
"225487","-111.23587799072266","-111.23587799072266","-111.23587799072266","2604","2604","2604"
"227285","-112.1882095336914","-112.1882095336914","-112.1882095336914","2615","2615","2615"
"228783","-112.78903198242188","-112.78903198242188","-112.78903198242188","2624","2624","2624"
"230281","-113.38384246826172","-113.38384246826172","-113.38384246826172","2634","2634","2634"
"232079","-114.314697265625","-114.314697265625","-114.314697265625","2645","2645","2645"
"233477","-114.7802505493164","-114.7802505493164","-114.7802505493164","2654","2654","2654"
"234875","-115.24114990234375","-115.24114990234375","-115.24114990234375","2664","2664","2664"
"238373","-118.09159851074219","-118.09159851074219","-118.09159851074219","2678","2678","2678"
"240371","-119.20337677001953","-119.20337677001953","-119.20337677001953","2689","2689","2689"
"242369","-120.30403900146484","-120.30403900146484","-120.30403900146484","2700","2700","2700"
"244167","-121.16568756103516","-121.16568756103516","-121.16568756103516","2711","2711","2711"
"245665","-121.6767349243164","-121.6767349243164","-121.6767349243164","2721","2721","2721"
"247163","-122.18267059326172","-122.18267059326172","-122.18267059326172","2730","2730","2730"
"248961","-123.0255355834961","-123.0255355834961","-123.0255355834961","2741","2741","2741"
"250359","-123.40398406982422","-123.40398406982422","-123.40398406982422","2750","2750","2750"
"251757","-123.77864074707031","-123.77864074707031","-123.77864074707031","2760","2760","2760"
"255255","-126.54370880126953","-126.54370880126953","-126.54370880126953","2775","2775","2775"
"257253","-127.57096099853516","-127.57096099853516","-127.57096099853516","2786","2786","2786"
"259251","-128.58795166015625","-128.58795166015625","-128.58795166015625","2797","2797","2797"
"261049","-129.36676025390625","-129.36676025390625","-129.36676025390625","2807","2807","2807"
"262547","-129.79579162597656","-129.79579162597656","-129.79579162597656","2817","2817","2817"
"264045","-130.2205352783203","-130.2205352783203","-130.2205352783203","2827","2827","2827"
"265843","-130.98301696777344","-130.98301696777344","-130.98301696777344","2837","2837","2837"
"267241","-131.28187561035156","-131.28187561035156","-131.28187561035156","2847","2847","2847"
"268639","-131.57774353027344","-131.57774353027344","-131.57774353027344","2856","2856","2856"
"272137","-134.2648162841797","-134.2648162841797","-134.2648162841797","2871","2871","2871"
"274135","-135.21485900878906","-135.21485900878906","-135.21485900878906","2882","2882","2882"
"276133","-136.15541076660156","-136.15541076660156","-136.15541076660156","2893","2893","2893"
"277931","-136.85855102539062","-136.85855102539062","-136.85855102539062","2903","2903","2903"
"279429","-137.21266174316406","-137.21266174316406","-137.21266174316406","2913","2913","2913"
"280927","-137.563232421875","-137.563232421875","-137.563232421875","2923","2923","2923"
"282725","-138.25228881835938","-138.25228881835938","-138.25228881835938","2933","2933","2933"
"284123","-138.4784698486328","-138.4784698486328","-138.4784698486328","2943","2943","2943"
"285521","-138.70237731933594","-138.70237731933594","-138.70237731933594","2952","2952","2952"
"289019","-141.31820678710938","-141.31820678710938","-141.31820678710938","2967","2967","2967"
"291017","-142.19772338867188","-142.19772338867188","-142.19772338867188","2978","2978","2978"
"293015","-143.0684356689453","-143.0684356689453","-143.0684356689453","2989","2989","2989"
"294813","-143.70245361328125","-143.70245361328125","-143.70245361328125","3000","3000","3000"
"296311","-143.98812866210938","-143.98812866210938","-143.98812866210938","3009","3009","3009"
"297809","-144.2709503173828","-144.2709503173828","-144.2709503173828","3019","3019","3019"
