"Evaluate/step_episode","rl_filter_mlp_2025-12-07_21-13-48 - Evaluate/EpProgress","rl_filter_mlp_2025-12-07_21-13-48 - Evaluate/EpProgress__MIN","rl_filter_mlp_2025-12-07_21-13-48 - Evaluate/EpProgress__MAX","rl_filter_mlp_2025-12-07_21-13-48 - _step","rl_filter_mlp_2025-12-07_21-13-48 - _step__MIN","rl_filter_mlp_2025-12-07_21-13-48 - _step__MAX","rl_filter_no_dueling_2025-11-29_18-11-35 - Evaluate/EpProgress","rl_filter_no_dueling_2025-11-29_18-11-35 - Evaluate/EpProgress__MIN","rl_filter_no_dueling_2025-11-29_18-11-35 - Evaluate/EpProgress__MAX","rl_filter_no_dueling_2025-11-29_18-11-35 - _step","rl_filter_no_dueling_2025-11-29_18-11-35 - _step__MIN","rl_filter_no_dueling_2025-11-29_18-11-35 - _step__MAX","rl_filter_selfattn_2025-11-26_16-56-20 - Evaluate/EpProgress","rl_filter_selfattn_2025-11-26_16-56-20 - Evaluate/EpProgress__MIN","rl_filter_selfattn_2025-11-26_16-56-20 - Evaluate/EpProgress__MAX","rl_filter_selfattn_2025-11-26_16-56-20 - _step","rl_filter_selfattn_2025-11-26_16-56-20 - _step__MIN","rl_filter_selfattn_2025-11-26_16-56-20 - _step__MAX","rl_filter_no_noisy_2025-11-25_15-04-29 - Evaluate/EpProgress","rl_filter_no_noisy_2025-11-25_15-04-29 - Evaluate/EpProgress__MIN","rl_filter_no_noisy_2025-11-25_15-04-29 - Evaluate/EpProgress__MAX","rl_filter_no_noisy_2025-11-25_15-04-29 - _step","rl_filter_no_noisy_2025-11-25_15-04-29 - _step__MIN","rl_filter_no_noisy_2025-11-25_15-04-29 - _step__MAX","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpProgress","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpProgress__MIN","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpProgress__MAX","4070_rl_filter_2025-07-20_12-17-12 - _step","4070_rl_filter_2025-07-20_12-17-12 - _step__MIN","4070_rl_filter_2025-07-20_12-17-12 - _step__MAX"
"0","1","1","1","165","165","165","0","0","0","1040","1040","1040","0","0","0","1040","1040","1040","0","0","0","1039","1039","1039","0","0","0","1037","1037","1037"
"1","1","1","1","169","169","169","0","0","0","1044","1044","1044","0","0","0","1044","1044","1044","0","0","0","1042","1042","1042","0","0","0","1040","1040","1040"
"2","1","1","1","173","173","173","0","0","0","1048","1048","1048","0.1","0.1","0.1","1048","1048","1048","0","0","0","1045","1045","1045","0","0","0","1043","1043","1043"
"3","1","1","1","177","177","177","0","0","0","1051","1051","1051","0","0","0","1052","1052","1052","0","0","0","1049","1049","1049","0","0","0","1047","1047","1047"
"4","1","1","1","181","181","181","0","0","0","1054","1054","1054","0","0","0","1056","1056","1056","0","0","0","1053","1053","1053","0","0","0","1051","1051","1051"
"5","1","1","1","185","185","185","0","0","0","1057","1057","1057","0","0","0","1060","1060","1060","0","0","0","1057","1057","1057","0","0","0","1055","1055","1055"
"6","1","1","1","189","189","189","0","0","0","1061","1061","1061","0","0","0","1064","1064","1064","0","0","0","1061","1061","1061","0","0","0","1059","1059","1059"
"7","1","1","1","193","193","193","0","0","0","1065","1065","1065","0","0","0","1068","1068","1068","0","0","0","1065","1065","1065","0","0","0","1063","1063","1063"
"8","1","1","1","197","197","197","0","0","0","1068","1068","1068","0.1","0.1","0.1","1072","1072","1072","0","0","0","1069","1069","1069","0","0","0","1067","1067","1067"
"9","1","1","1","327","327","327","0","0","0","2070","2070","2070","0","0","0","2076","2076","2076","0","0","0","2070","2070","2070","0","0","0","2070","2070","2070"
"10","1","1","1","331","331","331","0","0","0","2074","2074","2074","0","0","0","2080","2080","2080","0","0","0","2073","2073","2073","0","0","0","2073","2073","2073"
"11","1","1","1","335","335","335","0","0","0","2078","2078","2078","0.1","0.1","0.1","2084","2084","2084","0","0","0","2076","2076","2076","0","0","0","2076","2076","2076"
"12","1","1","1","339","339","339","0","0","0","2081","2081","2081","0","0","0","2088","2088","2088","0","0","0","2080","2080","2080","0","0","0","2080","2080","2080"
