"Train/step","rl_filter_mlp_2025-12-07_21-13-48 - Train/Mrewards","rl_filter_mlp_2025-12-07_21-13-48 - Train/Mrewards__MIN","rl_filter_mlp_2025-12-07_21-13-48 - Train/Mrewards__MAX","rl_filter_mlp_2025-12-07_21-13-48 - _step","rl_filter_mlp_2025-12-07_21-13-48 - _step__MIN","rl_filter_mlp_2025-12-07_21-13-48 - _step__MAX","rl_filter_no_dueling_2025-11-29_18-11-35 - Train/Mrewards","rl_filter_no_dueling_2025-11-29_18-11-35 - Train/Mrewards__MIN","rl_filter_no_dueling_2025-11-29_18-11-35 - Train/Mrewards__MAX","rl_filter_no_dueling_2025-11-29_18-11-35 - _step","rl_filter_no_dueling_2025-11-29_18-11-35 - _step__MIN","rl_filter_no_dueling_2025-11-29_18-11-35 - _step__MAX","rl_filter_selfattn_2025-11-26_16-56-20 - Train/Mrewards","rl_filter_selfattn_2025-11-26_16-56-20 - Train/Mrewards__MIN","rl_filter_selfattn_2025-11-26_16-56-20 - Train/Mrewards__MAX","rl_filter_selfattn_2025-11-26_16-56-20 - _step","rl_filter_selfattn_2025-11-26_16-56-20 - _step__MIN","rl_filter_selfattn_2025-11-26_16-56-20 - _step__MAX","rl_filter_no_noisy_2025-11-25_15-04-29 - Train/Mrewards","rl_filter_no_noisy_2025-11-25_15-04-29 - Train/Mrewards__MIN","rl_filter_no_noisy_2025-11-25_15-04-29 - Train/Mrewards__MAX","rl_filter_no_noisy_2025-11-25_15-04-29 - _step","rl_filter_no_noisy_2025-11-25_15-04-29 - _step__MIN","rl_filter_no_noisy_2025-11-25_15-04-29 - _step__MAX","4070_rl_filter_2025-07-20_12-17-12 - Train/Mrewards","4070_rl_filter_2025-07-20_12-17-12 - Train/Mrewards__MIN","4070_rl_filter_2025-07-20_12-17-12 - Train/Mrewards__MAX","4070_rl_filter_2025-07-20_12-17-12 - _step","4070_rl_filter_2025-07-20_12-17-12 - _step__MIN","4070_rl_filter_2025-07-20_12-17-12 - _step__MAX"
"52","-1.555999517440796","-1.555999517440796","-1.555999517440796","7","7","7","-1.555999517440796","-1.555999517440796","-1.555999517440796","7","7","7","-1.555999517440796","-1.555999517440796","-1.555999517440796","7","7","7","-1.555999517440796","-1.555999517440796","-1.555999517440796","7","7","7","","","","","",""
"54","","","","","","","","","","","","","","","","","","","","","","","","","-1.917999267578125","-1.917999267578125","-1.917999267578125","7","7","7"
"104","","","","","","","-1.7299995422363281","-1.7299995422363281","-1.7299995422363281","14","14","14","","","","","","","","","","","","","","","","","",""
"105","","","","","","","","","","","","","","","","","","","","","","","","","-1.6429994106292725","-1.6429994106292725","-1.6429994106292725","14","14","14"
"110","-1.8799995183944702","-1.8799995183944702","-1.8799995183944702","14","14","14","","","","","","","-1.8799995183944702","-1.8799995183944702","-1.8799995183944702","14","14","14","-1.8799995183944702","-1.8799995183944702","-1.8799995183944702","14","14","14","","","","","",""
"650","-1.839308738708496","-1.839308738708496","-1.839308738708496","39","39","39","","","","","","","-1.839308738708496","-1.839308738708496","-1.839308738708496","39","39","39","-1.839308738708496","-1.839308738708496","-1.839308738708496","39","39","39","","","","","",""
"685","","","","","","","","","","","","","","","","","","","","","","","","","-1.5588037967681885","-1.5588037967681885","-1.5588037967681885","39","39","39"
"705","-1.842746615409851","-1.842746615409851","-1.842746615409851","46","46","46","","","","","","","-1.842746615409851","-1.842746615409851","-1.842746615409851","46","46","46","-1.842746615409851","-1.842746615409851","-1.842746615409851","46","46","46","","","","","",""
"714","","","","","","","-2.4262330532073975","-2.4262330532073975","-2.4262330532073975","39","39","39","","","","","","","","","","","","","","","","","",""
"732","","","","","","","","","","","","","","","","","","","","","","","","","-1.509203553199768","-1.509203553199768","-1.509203553199768","46","46","46"
