"Step","test_ppolag_filter_dis_49600_2025-08-08_13-49-16_ftg_0.0 - Evaluate2/EpOverworkPhyValues","test_ppolag_filter_dis_49600_2025-08-08_13-49-16_ftg_0.0 - Evaluate2/EpOverworkPhyValues__MIN","test_ppolag_filter_dis_49600_2025-08-08_13-49-16_ftg_0.0 - Evaluate2/EpOverworkPhyValues__MAX","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.9 - Evaluate2/EpOverworkPhyValues","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.9 - Evaluate2/EpOverworkPhyValues__MIN","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.9 - Evaluate2/EpOverworkPhyValues__MAX","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.85 - Evaluate2/EpOverworkPhyValues","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.85 - Evaluate2/EpOverworkPhyValues__MIN","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.85 - Evaluate2/EpOverworkPhyValues__MAX","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.8 - Evaluate2/EpOverworkPhyValues","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.8 - Evaluate2/EpOverworkPhyValues__MIN","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.8 - Evaluate2/EpOverworkPhyValues__MAX","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.75 - Evaluate2/EpOverworkPhyValues","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.75 - Evaluate2/EpOverworkPhyValues__MIN","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.75 - Evaluate2/EpOverworkPhyValues__MAX","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.7 - Evaluate2/EpOverworkPhyValues","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.7 - Evaluate2/EpOverworkPhyValues__MIN","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.7 - Evaluate2/EpOverworkPhyValues__MAX","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.65 - Evaluate2/EpOverworkPhyValues","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.65 - Evaluate2/EpOverworkPhyValues__MIN","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.65 - Evaluate2/EpOverworkPhyValues__MAX","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.6 - Evaluate2/EpOverworkPhyValues","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.6 - Evaluate2/EpOverworkPhyValues__MIN","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.6 - Evaluate2/EpOverworkPhyValues__MAX","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.55 - Evaluate2/EpOverworkPhyValues","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.55 - Evaluate2/EpOverworkPhyValues__MIN","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.55 - Evaluate2/EpOverworkPhyValues__MAX","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.5 - Evaluate2/EpOverworkPhyValues","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.5 - Evaluate2/EpOverworkPhyValues__MIN","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.5 - Evaluate2/EpOverworkPhyValues__MAX","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.45 - Evaluate2/EpOverworkPhyValues","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.45 - Evaluate2/EpOverworkPhyValues__MIN","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.45 - Evaluate2/EpOverworkPhyValues__MAX","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.4 - Evaluate2/EpOverworkPhyValues","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.4 - Evaluate2/EpOverworkPhyValues__MIN","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.4 - Evaluate2/EpOverworkPhyValues__MAX","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.35 - Evaluate2/EpOverworkPhyValues","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.35 - Evaluate2/EpOverworkPhyValues__MIN","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.35 - Evaluate2/EpOverworkPhyValues__MAX","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.3 - Evaluate2/EpOverworkPhyValues","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.3 - Evaluate2/EpOverworkPhyValues__MIN","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.3 - Evaluate2/EpOverworkPhyValues__MAX","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.25 - Evaluate2/EpOverworkPhyValues","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.25 - Evaluate2/EpOverworkPhyValues__MIN","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.25 - Evaluate2/EpOverworkPhyValues__MAX","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.2 - Evaluate2/EpOverworkPhyValues","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.2 - Evaluate2/EpOverworkPhyValues__MIN","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.2 - Evaluate2/EpOverworkPhyValues__MAX","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.15 - Evaluate2/EpOverworkPhyValues","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.15 - Evaluate2/EpOverworkPhyValues__MIN","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.15 - Evaluate2/EpOverworkPhyValues__MAX","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.05 - Evaluate2/EpOverworkPhyValues","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.05 - Evaluate2/EpOverworkPhyValues__MIN","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.05 - Evaluate2/EpOverworkPhyValues__MAX","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.0 - Evaluate2/EpOverworkPhyValues","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.0 - Evaluate2/EpOverworkPhyValues__MIN","test_rl_filter_49600_2025-07-20_12-17-12_ftg_0.0 - Evaluate2/EpOverworkPhyValues__MAX"
"1","0.34901636028221905","0.34901636028221905","0.34901636028221905","","","","0.8506467333311144","0.8506467333311144","0.8506467333311144","0.8010899289058394","0.8010899289058394","0.8010899289058394","0.7507796247622709","0.7507796247622709","0.7507796247622709","0.7003227318530083","0.7003227318530083","0.7003227318530083","0.6506960851841429","0.6506960851841429","0.6506960851841429","0.6004280089682038","0.6004280089682038","0.6004280089682038","0.5502917821808724","0.5502917821808724","0.5502917821808724","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.006383774376673568","0.006383774376673568","0.006383774376673568"
"2","0.5938811298696327","0.5938811298696327","0.5938811298696327","","","","","","","0.8000347826933881","0.8000347826933881","0.8000347826933881","","","","","","","0.6507995901715002","0.6507995901715002","0.6507995901715002","0.6007423611882441","0.6007423611882441","0.6007423611882441","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","0.6290154258132414","0.6290154258132414","0.6290154258132414","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","0.7734017006389289","0.7734017006389289","0.7734017006389289","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","0.8475507299610943","0.8475507299610943","0.8475507299610943","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","0.8518670117675818","0.8518670117675818","0.8518670117675818","","","","","","","","","","","","","","","","","","","","","","","","","0.5005224888324517","0.5005224888324517","0.5005224888324517","0.45029687836442095","0.45029687836442095","0.45029687836442095","0.4000870396905577","0.4000870396905577","0.4000870396905577","0.35035456612550475","0.35035456612550475","0.35035456612550475","","","","0.30431772239323956","0.30431772239323956","0.30431772239323956","","","","","","","","","","","",""
"7","0.9024917938187201","0.9024917938187201","0.9024917938187201","","","","","","","","","","0.7509022523922496","0.7509022523922496","0.7509022523922496","0.7005272266325732","0.7005272266325732","0.7005272266325732","","","","","","","0.5500243308014013","0.5500243308014013","0.5500243308014013","0.5007136554860457","0.5007136554860457","0.5007136554860457","0.49183689790725105","0.49183689790725105","0.49183689790725105","","","","","","","","","","","","","","","","","","","","","","0.009741016356269162","0.009741016356269162","0.009741016356269162"
"8","0.9011390709237987","0.9011390709237987","0.9011390709237987","","","","","","","","","","0.7508594343710098","0.7508594343710098","0.7508594343710098","0.7008758626016831","0.7008758626016831","0.7008758626016831","0.6504400586125373","0.6504400586125373","0.6504400586125373","0.6002474778989928","0.6002474778989928","0.6002474778989928","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","0.9468747324409007","0.9468747324409007","0.9468747324409007","","","","","","","","","","","","","0.7237418206532095","0.7237418206532095","0.7237418206532095","0.6508287654839714","0.6508287654839714","0.6508287654839714","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","0.9726870609242504","0.9726870609242504","0.9726870609242504","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","0.8943375329288237","0.8943375329288237","0.8943375329288237","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","0.931996960459292","0.931996960459292","0.931996960459292","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.40031542970141903","0.40031542970141903","0.40031542970141903","0.35038204446849613","0.35038204446849613","0.35038204446849613","","","","","","","","","","","","","","","","","",""
"13","0.9210765463461846","0.9210765463461846","0.9210765463461846","","","","","","","","","","","","","","","","","","","","","","0.5505987781077869","0.5505987781077869","0.5505987781077869","0.5005120038395899","0.5005120038395899","0.5005120038395899","0.4504556146027168","0.4504556146027168","0.4504556146027168","0.40054929999178684","0.40054929999178684","0.40054929999178684","","","","","","","","","","","","","","","","","","","0.007247372224389439","0.007247372224389439","0.007247372224389439"
"14","0.9196959672198687","0.9196959672198687","0.9196959672198687","","","","","","","","","","0.7501798631029278","0.7501798631029278","0.7501798631029278","","","","","","","0.6002301157093343","0.6002301157093343","0.6002301157093343","","","","0.5001023753209048","0.5001023753209048","0.5001023753209048","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","0.9233188756963303","0.9233188756963303","0.9233188756963303","","","","","","","","","","0.7501561217291112","0.7501561217291112","0.7501561217291112","0.7008892624687918","0.7008892624687918","0.7008892624687918","0.6505909653550773","0.6505909653550773","0.6505909653550773","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","0.9459904127706067","0.9459904127706067","0.9459904127706067","","","","","","","","","","","","","","","","0.6508575359244575","0.6508575359244575","0.6508575359244575","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","0.9291266867131156","0.9291266867131156","0.9291266867131156","","","","0.8512040503311652","0.8512040503311652","0.8512040503311652","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","0.9299067555292243","0.9299067555292243","0.9299067555292243","","","","0.8509852914045396","0.8509852914045396","0.8509852914045396","0.8004434481761302","0.8004434481761302","0.8004434481761302","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","0.9133313902909657","0.9133313902909657","0.9133313902909657","","","","","","","0.8006004486935666","0.8006004486935666","0.8006004486935666","","","","","","","","","","","","","0.550263231086106","0.550263231086106","0.550263231086106","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.006735040354971882","0.006735040354971882","0.006735040354971882"
"20","0.9287359521498282","0.9287359521498282","0.9287359521498282","","","","","","","","","","","","","","","","","","","0.6004429221727522","0.6004429221727522","0.6004429221727522","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","0.9273438925273315","0.9273438925273315","0.9273438925273315","","","","","","","","","","0.7503773102586938","0.7503773102586938","0.7503773102586938","0.7001328199910289","0.7001328199910289","0.7001328199910289","","","","0.6005421347792405","0.6005421347792405","0.6005421347792405","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
