"Evaluate/step_episode","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - _step","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - _step__MIN","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - _step__MAX","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - Evaluate/EpProgress","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - Evaluate/EpProgress__MIN","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - Evaluate/EpProgress__MAX","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - _step","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - _step__MIN","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - _step__MAX","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - Evaluate/EpProgress","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - Evaluate/EpProgress__MIN","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - Evaluate/EpProgress__MAX","4070_penalty_ppo_dis_2025-07-31_13-37-58 - _step","4070_penalty_ppo_dis_2025-07-31_13-37-58 - _step__MIN","4070_penalty_ppo_dis_2025-07-31_13-37-58 - _step__MAX","4070_penalty_ppo_dis_2025-07-31_13-37-58 - Evaluate/EpProgress","4070_penalty_ppo_dis_2025-07-31_13-37-58 - Evaluate/EpProgress__MIN","4070_penalty_ppo_dis_2025-07-31_13-37-58 - Evaluate/EpProgress__MAX","4090_ppo_dis_2025-07-30_13-18-07 - _step","4090_ppo_dis_2025-07-30_13-18-07 - _step__MIN","4090_ppo_dis_2025-07-30_13-18-07 - _step__MAX","4090_ppo_dis_2025-07-30_13-18-07 - Evaluate/EpProgress","4090_ppo_dis_2025-07-30_13-18-07 - Evaluate/EpProgress__MIN","4090_ppo_dis_2025-07-30_13-18-07 - Evaluate/EpProgress__MAX","penalty_4070_rl_filter_2025-07-29_22-22-18 - _step","penalty_4070_rl_filter_2025-07-29_22-22-18 - _step__MIN","penalty_4070_rl_filter_2025-07-29_22-22-18 - _step__MAX","penalty_4070_rl_filter_2025-07-29_22-22-18 - Evaluate/EpProgress","penalty_4070_rl_filter_2025-07-29_22-22-18 - Evaluate/EpProgress__MIN","penalty_4070_rl_filter_2025-07-29_22-22-18 - Evaluate/EpProgress__MAX","4090_dqn_2025-07-29_13-21-06 - _step","4090_dqn_2025-07-29_13-21-06 - _step__MIN","4090_dqn_2025-07-29_13-21-06 - _step__MAX","4090_dqn_2025-07-29_13-21-06 - Evaluate/EpProgress","4090_dqn_2025-07-29_13-21-06 - Evaluate/EpProgress__MIN","4090_dqn_2025-07-29_13-21-06 - Evaluate/EpProgress__MAX","penalty_4070_dqn_2025-07-27_11-39-32 - _step","penalty_4070_dqn_2025-07-27_11-39-32 - _step__MIN","penalty_4070_dqn_2025-07-27_11-39-32 - _step__MAX","penalty_4070_dqn_2025-07-27_11-39-32 - Evaluate/EpProgress","penalty_4070_dqn_2025-07-27_11-39-32 - Evaluate/EpProgress__MIN","penalty_4070_dqn_2025-07-27_11-39-32 - Evaluate/EpProgress__MAX","4070_rl_filter_2025-07-20_12-17-12 - _step","4070_rl_filter_2025-07-20_12-17-12 - _step__MIN","4070_rl_filter_2025-07-20_12-17-12 - _step__MAX","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpProgress","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpProgress__MIN","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpProgress__MAX"
"0","569","569","569","0","0","0","554","554","554","0","0","0","611","611","611","1","1","1","598","598","598","0","0","0","1035","1035","1035","0","0","0","1040","1040","1040","0","0","0","1040","1040","1040","0","0","0","1037","1037","1037","0","0","0"
"1","572","572","572","0","0","0","557","557","557","0","0","0","615","615","615","1","1","1","602","602","602","0","0","0","1038","1038","1038","0","0","0","1044","1044","1044","0","0","0","1044","1044","1044","0","0","0","1040","1040","1040","0","0","0"
"2","575","575","575","0","0","0","560","560","560","0","0","0","619","619","619","1","1","1","606","606","606","0","0","0","1041","1041","1041","0","0","0","1048","1048","1048","0.4","0.4","0.4","1048","1048","1048","0.2","0.2","0.2","1043","1043","1043","0","0","0"
"3","579","579","579","0","0","0","563","563","563","0","0","0","623","623","623","1","1","1","610","610","610","1","1","1","1045","1045","1045","0","0","0","1052","1052","1052","0","0","0","1052","1052","1052","0.8","0.8","0.8","1047","1047","1047","0","0","0"
"4","583","583","583","0","0","0","566","566","566","0","0","0","627","627","627","1","1","1","614","614","614","1","1","1","1049","1049","1049","0","0","0","1056","1056","1056","0.8","0.8","0.8","1056","1056","1056","0.8","0.8","0.8","1051","1051","1051","0","0","0"
"5","587","587","587","0","0","0","569","569","569","0","0","0","631","631","631","1","1","1","618","618","618","1","1","1","1053","1053","1053","0","0","0","1060","1060","1060","0.8","0.8","0.8","1060","1060","1060","0.8","0.8","0.8","1055","1055","1055","0","0","0"
"6","591","591","591","1","1","1","573","573","573","0.8","0.8","0.8","635","635","635","1","1","1","622","622","622","1","1","1","1057","1057","1057","0","0","0","1064","1064","1064","0","0","0","1064","1064","1064","0","0","0","1059","1059","1059","0","0","0"
"7","595","595","595","1","1","1","577","577","577","1","1","1","639","639","639","1","1","1","626","626","626","1","1","1","1061","1061","1061","0","0","0","1068","1068","1068","0","0","0","1068","1068","1068","0","0","0","1063","1063","1063","0","0","0"
"8","599","599","599","1","1","1","581","581","581","1","1","1","643","643","643","1","1","1","630","630","630","1","1","1","1065","1065","1065","0","0","0","1072","1072","1072","0","0","0","1072","1072","1072","0","0","0","1067","1067","1067","0","0","0"
"9","1278","1278","1278","1","1","1","1118","1118","1118","1","1","1","1181","1181","1181","1","1","1","1161","1161","1161","0.1","0.1","0.1","2068","2068","2068","0","0","0","2074","2074","2074","0","0","0","2076","2076","2076","0","0","0","2070","2070","2070","0","0","0"
"10","1282","1282","1282","1","1","1","1122","1122","1122","1","1","1","1185","1185","1185","1","1","1","1165","1165","1165","0.1","0.1","0.1","2071","2071","2071","0","0","0","2078","2078","2078","0","0","0","2080","2080","2080","0","0","0","2073","2073","2073","0","0","0"
"11","1286","1286","1286","1","1","1","1126","1126","1126","1","1","1","1189","1189","1189","1","1","1","1169","1169","1169","0.1","0.1","0.1","2074","2074","2074","0","0","0","2082","2082","2082","0","0","0","2084","2084","2084","1","1","1","2076","2076","2076","0","0","0"
"12","1290","1290","1290","1","1","1","1130","1130","1130","1","1","1","1193","1193","1193","1","1","1","1173","1173","1173","1","1","1","2078","2078","2078","0","0","0","2086","2086","2086","0.8","0.8","0.8","2088","2088","2088","0.8","0.8","0.8","2080","2080","2080","0","0","0"
"13","1294","1294","1294","1","1","1","1134","1134","1134","1","1","1","1197","1197","1197","1","1","1","1177","1177","1177","1","1","1","2082","2082","2082","0","0","0","2090","2090","2090","0.8","0.8","0.8","2092","2092","2092","0.8","0.8","0.8","2084","2084","2084","0","0","0"
