"Evaluate/step_episode","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - Evaluate/EpRet","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - Evaluate/EpRet__MIN","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - Evaluate/EpRet__MAX","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - _step","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - _step__MIN","4070_9_ppolag_filter_dis_2025-08-08_13-49-16 - _step__MAX","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - Evaluate/EpRet","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - Evaluate/EpRet__MIN","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - Evaluate/EpRet__MAX","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - _step","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - _step__MIN","4090_10_ppolag_filter_dis_2025-08-08_13-46-57 - _step__MAX","4070_penalty_ppo_dis_2025-07-31_13-37-58 - Evaluate/EpRet","4070_penalty_ppo_dis_2025-07-31_13-37-58 - Evaluate/EpRet__MIN","4070_penalty_ppo_dis_2025-07-31_13-37-58 - Evaluate/EpRet__MAX","4070_penalty_ppo_dis_2025-07-31_13-37-58 - _step","4070_penalty_ppo_dis_2025-07-31_13-37-58 - _step__MIN","4070_penalty_ppo_dis_2025-07-31_13-37-58 - _step__MAX","4090_ppo_dis_2025-07-30_13-18-07 - Evaluate/EpRet","4090_ppo_dis_2025-07-30_13-18-07 - Evaluate/EpRet__MIN","4090_ppo_dis_2025-07-30_13-18-07 - Evaluate/EpRet__MAX","4090_ppo_dis_2025-07-30_13-18-07 - _step","4090_ppo_dis_2025-07-30_13-18-07 - _step__MIN","4090_ppo_dis_2025-07-30_13-18-07 - _step__MAX","penalty_4070_rl_filter_2025-07-29_22-22-18 - Evaluate/EpRet","penalty_4070_rl_filter_2025-07-29_22-22-18 - Evaluate/EpRet__MIN","penalty_4070_rl_filter_2025-07-29_22-22-18 - Evaluate/EpRet__MAX","penalty_4070_rl_filter_2025-07-29_22-22-18 - _step","penalty_4070_rl_filter_2025-07-29_22-22-18 - _step__MIN","penalty_4070_rl_filter_2025-07-29_22-22-18 - _step__MAX","4090_dqn_2025-07-29_13-21-06 - Evaluate/EpRet","4090_dqn_2025-07-29_13-21-06 - Evaluate/EpRet__MIN","4090_dqn_2025-07-29_13-21-06 - Evaluate/EpRet__MAX","4090_dqn_2025-07-29_13-21-06 - _step","4090_dqn_2025-07-29_13-21-06 - _step__MIN","4090_dqn_2025-07-29_13-21-06 - _step__MAX","penalty_4070_dqn_2025-07-27_11-39-32 - Evaluate/EpRet","penalty_4070_dqn_2025-07-27_11-39-32 - Evaluate/EpRet__MIN","penalty_4070_dqn_2025-07-27_11-39-32 - Evaluate/EpRet__MAX","penalty_4070_dqn_2025-07-27_11-39-32 - _step","penalty_4070_dqn_2025-07-27_11-39-32 - _step__MIN","penalty_4070_dqn_2025-07-27_11-39-32 - _step__MAX","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpRet","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpRet__MIN","4070_rl_filter_2025-07-20_12-17-12 - Evaluate/EpRet__MAX","4070_rl_filter_2025-07-20_12-17-12 - _step","4070_rl_filter_2025-07-20_12-17-12 - _step__MIN","4070_rl_filter_2025-07-20_12-17-12 - _step__MAX"
"0","-358.2908020019531","-358.2908020019531","-358.2908020019531","569","569","569","-358.2908020019531","-358.2908020019531","-358.2908020019531","554","554","554","0.7119998931884766","0.7119998931884766","0.7119998931884766","611","611","611","-333.7932434082031","-333.7932434082031","-333.7932434082031","598","598","598","-358.2908020019531","-358.2908020019531","-358.2908020019531","1035","1035","1035","-330.8935546875","-330.8935546875","-330.8935546875","1040","1040","1040","-333.59326171875","-333.59326171875","-333.59326171875","1040","1040","1040","-358.2908020019531","-358.2908020019531","-358.2908020019531","1037","1037","1037"
"1","-205.29837036132812","-205.29837036132812","-205.29837036132812","572","572","572","-205.29837036132812","-205.29837036132812","-205.29837036132812","557","557","557","-4.696002960205078","-4.696002960205078","-4.696002960205078","615","615","615","-180.59715270996094","-180.59715270996094","-180.59715270996094","602","602","602","-205.29837036132812","-205.29837036132812","-205.29837036132812","1038","1038","1038","-171.99671936035156","-171.99671936035156","-171.99671936035156","1044","1044","1044","-173.19679260253906","-173.19679260253906","-173.19679260253906","1044","1044","1044","-205.29837036132812","-205.29837036132812","-205.29837036132812","1040","1040","1040"
"2","-205.29837036132812","-205.29837036132812","-205.29837036132812","575","575","575","-205.29837036132812","-205.29837036132812","-205.29837036132812","560","560","560","-0.2620001435279846","-0.2620001435279846","-0.2620001435279846","619","619","619","-180.79714965820312","-180.79714965820312","-180.79714965820312","606","606","606","-205.29837036132812","-205.29837036132812","-205.29837036132812","1041","1041","1041","-125.11475372314453","-125.11475372314453","-125.11475372314453","1048","1048","1048","-142.55528259277344","-142.55528259277344","-142.55528259277344","1048","1048","1048","-205.29837036132812","-205.29837036132812","-205.29837036132812","1043","1043","1043"
"3","-184.29733276367188","-184.29733276367188","-184.29733276367188","579","579","579","-184.89736938476562","-184.89736938476562","-184.89736938476562","563","563","563","1.309999942779541","1.309999942779541","1.309999942779541","623","623","623","1.1559998989105225","1.1559998989105225","1.1559998989105225","610","610","610","-178.19703674316406","-178.19703674316406","-178.19703674316406","1045","1045","1045","-173.5968017578125","-173.5968017578125","-173.5968017578125","1052","1052","1052","-123.73478698730469","-123.73478698730469","-123.73478698730469","1052","1052","1052","-178.79705810546875","-178.79705810546875","-178.79705810546875","1047","1047","1047"
"4","-153.69583129882812","-153.69583129882812","-153.69583129882812","583","583","583","-154.29586791992188","-154.29586791992188","-154.29586791992188","566","566","566","1.9019999504089355","1.9019999504089355","1.9019999504089355","627","627","627","1.6619997024536133","1.6619997024536133","1.6619997024536133","614","614","614","-153.09579467773438","-153.09579467773438","-153.09579467773438","1049","1049","1049","-32.65592575073242","-32.65592575073242","-32.65592575073242","1056","1056","1056","-37.555965423583984","-37.555965423583984","-37.555965423583984","1056","1056","1056","-153.09579467773438","-153.09579467773438","-153.09579467773438","1051","1051","1051"
"5","-142.69529724121094","-142.69529724121094","-142.69529724121094","587","587","587","-154.29586791992188","-154.29586791992188","-154.29586791992188","569","569","569","1.8979997634887695","1.8979997634887695","1.8979997634887695","631","631","631","1.681999683380127","1.681999683380127","1.681999683380127","618","618","618","-153.09579467773438","-153.09579467773438","-153.09579467773438","1053","1053","1053","-36.35594940185547","-36.35594940185547","-36.35594940185547","1060","1060","1060","-37.555965423583984","-37.555965423583984","-37.555965423583984","1060","1060","1060","-152.9958038330078","-152.9958038330078","-152.9958038330078","1055","1055","1055"
"6","1.151999831199646","1.151999831199646","1.151999831199646","591","591","591","-82.3358383178711","-82.3358383178711","-82.3358383178711","573","573","573","1.1319999694824219","1.1319999694824219","1.1319999694824219","635","635","635","1.3579998016357422","1.3579998016357422","1.3579998016357422","622","622","622","-178.9970703125","-178.9970703125","-178.9970703125","1057","1057","1057","-174.89686584472656","-174.89686584472656","-174.89686584472656","1064","1064","1064","-174.9968719482422","-174.9968719482422","-174.9968719482422","1064","1064","1064","-178.9970703125","-178.9970703125","-178.9970703125","1059","1059","1059"
"7","2.2960000038146973","2.2960000038146973","2.2960000038146973","595","595","595","2.058000087738037","2.058000087738037","2.058000087738037","577","577","577","2.242000102996826","2.242000102996826","2.242000102996826","639","639","639","1.9839999675750732","1.9839999675750732","1.9839999675750732","626","626","626","-143.69534301757812","-143.69534301757812","-143.69534301757812","1061","1061","1061","-133.89486694335938","-133.89486694335938","-133.89486694335938","1068","1068","1068","-137.89505004882812","-137.89505004882812","-137.89505004882812","1068","1068","1068","-143.69534301757812","-143.69534301757812","-143.69534301757812","1063","1063","1063"
"8","1.99399995803833","1.99399995803833","1.99399995803833","599","599","599","-0.6380000114440918","-0.6380000114440918","-0.6380000114440918","581","581","581","2.0840001106262207","2.0840001106262207","2.0840001106262207","643","643","643","2.00600004196167","2.00600004196167","2.00600004196167","630","630","630","-143.69534301757812","-143.69534301757812","-143.69534301757812","1065","1065","1065","-137.69505310058594","-137.69505310058594","-137.69505310058594","1072","1072","1072","-137.5950469970703","-137.5950469970703","-137.5950469970703","1072","1072","1072","-143.69534301757812","-143.69534301757812","-143.69534301757812","1067","1067","1067"
"9","0.8279998302459717","0.8279998302459717","0.8279998302459717","1278","1278","1278","0.9119998812675476","0.9119998812675476","0.9119998812675476","1118","1118","1118","0.8439999222755432","0.8439999222755432","0.8439999222755432","1181","1181","1181","-285.27813720703125","-285.27813720703125","-285.27813720703125","1161","1161","1161","-358.2908020019531","-358.2908020019531","-358.2908020019531","2068","2068","2068","-327.7938537597656","-327.7938537597656","-327.7938537597656","2074","2074","2074","-331.29351806640625","-331.29351806640625","-331.29351806640625","2076","2076","2076","-358.2908020019531","-358.2908020019531","-358.2908020019531","2070","2070","2070"
